cuisine,atmosphere,occasion,price,style
Italian,Excellent Decor,Open on Sundays,$15-$30,none
Italian,Excellent Decor,Open on Mondays,$15-$30,none
Italian,Relaxed Senior Scene,Open on Sundays,$15-$30,none
Italian,Relaxed Senior Scene,Open on Mondays,$15-$30,none
Italian,Very Busy - Reservations a Must,Open on Sundays,$15-$30,none
Italian,Very Busy - Reservations a Must,Open on Mondays,$15-$30,none
Italian,Extraordinary Service,Open on Sundays,$15-$30,none
Italian,Extraordinary Service,Open on Mondays,$15-$30,none
Italian,Extraordinary Food,Open on Sundays,$15-$30,none
Italian,Extraordinary Food,Open on Mondays,$15-$30,none
American,Excellent Decor,Open on Sundays,$30-$50,none
American,Excellent Decor,Long Drive,$30-$50,none
American,Excellent Decor,Fine for Dining Alone,$30-$50,none
American,Excellent Decor,Open on Mondays,$30-$50,none
American,Extraordinary Food,Open on Sundays,$30-$50,none
American,Extraordinary Food,Long Drive,$30-$50,none
American,Extraordinary Food,Fine for Dining Alone,$30-$50,none
American,Extraordinary Food,Open on Mondays,$30-$50,none
American,Good Out of Town Business,Open on Sundays,$30-$50,none
American,Good Out of Town Business,Long Drive,$30-$50,none
American,Good Out of Town Business,Fine for Dining Alone,$30-$50,none
American,Good Out of Town Business,Open on Mondays,$30-$50,none
American,Up and Coming,Open on Sundays,$30-$50,none
American,Up and Coming,Long Drive,$30-$50,none
American,Up and Coming,Fine for Dining Alone,$30-$50,none
American,Up and Coming,Open on Mondays,$30-$50,none
American,Excellent Service,Open on Sundays,$30-$50,none
American,Excellent Service,Long Drive,$30-$50,none
American,Excellent Service,Fine for Dining Alone,$30-$50,none
American,Excellent Service,Open on Mondays,$30-$50,none
American,Need To Dress,Open on Sundays,$30-$50,none
American,Need To Dress,Fine for Dining Alone,$30-$50,none
American,Need To Dress,Dancing,$30-$50,none
American,Need To Dress,Open for Breakfast,$30-$50,none
American,Need To Dress,Open on Mondays,$30-$50,none
American,Need To Dress,Private Rooms Available,$30-$50,none
American,Romantic,Open on Sundays,$30-$50,none
American,Romantic,Fine for Dining Alone,$30-$50,none
American,Romantic,Dancing,$30-$50,none
American,Romantic,Open for Breakfast,$30-$50,none
American,Romantic,Open on Mondays,$30-$50,none
American,Romantic,Private Rooms Available,$30-$50,none
American,Hip Place To Be,Open on Sundays,$30-$50,none
American,Hip Place To Be,Fine for Dining Alone,$30-$50,none
American,Hip Place To Be,Dancing,$30-$50,none
American,Hip Place To Be,Open for Breakfast,$30-$50,none
American,Hip Place To Be,Open on Mondays,$30-$50,none
American,Hip Place To Be,Private Rooms Available,$30-$50,none
American,Near-perfect Food,Open on Sundays,$30-$50,none
American,Near-perfect Food,Fine for Dining Alone,$30-$50,none
American,Near-perfect Food,Dancing,$30-$50,none
American,Near-perfect Food,Open for Breakfast,$30-$50,none
American,Near-perfect Food,Open on Mondays,$30-$50,none
American,Near-perfect Food,Private Rooms Available,$30-$50,none
American,Fabulous Wine Lists,Open on Sundays,$30-$50,none
American,Fabulous Wine Lists,Fine for Dining Alone,$30-$50,none
American,Fabulous Wine Lists,Dancing,$30-$50,none
American,Fabulous Wine Lists,Open for Breakfast,$30-$50,none
American,Fabulous Wine Lists,Open on Mondays,$30-$50,none
American,Fabulous Wine Lists,Private Rooms Available,$30-$50,none
American,Very Busy - Reservations a Must,Open on Sundays,$30-$50,none
American,Very Busy - Reservations a Must,Fine for Dining Alone,$30-$50,none
American,Very Busy - Reservations a Must,Dancing,$30-$50,none
American,Very Busy - Reservations a Must,Open for Breakfast,$30-$50,none
American,Very Busy - Reservations a Must,Open on Mondays,$30-$50,none
American,Very Busy - Reservations a Must,Private Rooms Available,$30-$50,none
American,Relaxed Senior Scene,Open on Sundays,$30-$50,none
American,Relaxed Senior Scene,Fine for Dining Alone,$30-$50,none
American,Relaxed Senior Scene,Dancing,$30-$50,none
American,Relaxed Senior Scene,Open for Breakfast,$30-$50,none
American,Relaxed Senior Scene,Open on Mondays,$30-$50,none
American,Relaxed Senior Scene,Private Rooms Available,$30-$50,none
American,Wheelchair Access,Open on Sundays,$30-$50,none
American,Wheelchair Access,Fine for Dining Alone,$30-$50,none
American,Wheelchair Access,Dancing,$30-$50,none
American,Wheelchair Access,Open for Breakfast,$30-$50,none
American,Wheelchair Access,Open on Mondays,$30-$50,none
American,Wheelchair Access,Private Rooms Available,$30-$50,none
American,Great for People Watching,Open on Sundays,$30-$50,none
American,Great for People Watching,Fine for Dining Alone,$30-$50,none
American,Great for People Watching,Dancing,$30-$50,none
American,Great for People Watching,Open for Breakfast,$30-$50,none
American,Great for People Watching,Open on Mondays,$30-$50,none
American,Great for People Watching,Private Rooms Available,$30-$50,none
American,Classic Hotel Dining,Open on Sundays,$30-$50,none
American,Classic Hotel Dining,Fine for Dining Alone,$30-$50,none
American,Classic Hotel Dining,Dancing,$30-$50,none
American,Classic Hotel Dining,Open for Breakfast,$30-$50,none
American,Classic Hotel Dining,Open on Mondays,$30-$50,none
American,Classic Hotel Dining,Private Rooms Available,$30-$50,none
American,Near-perfect Decor,Open on Sundays,$30-$50,none
American,Near-perfect Decor,Fine for Dining Alone,$30-$50,none
American,Near-perfect Decor,Dancing,$30-$50,none
American,Near-perfect Decor,Open for Breakfast,$30-$50,none
American,Near-perfect Decor,Open on Mondays,$30-$50,none
American,Near-perfect Decor,Private Rooms Available,$30-$50,none
American,Near-perfect Service,Open on Sundays,$30-$50,none
American,Near-perfect Service,Fine for Dining Alone,$30-$50,none
American,Near-perfect Service,Dancing,$30-$50,none
American,Near-perfect Service,Open for Breakfast,$30-$50,none
American,Near-perfect Service,Open on Mondays,$30-$50,none
American,Near-perfect Service,Private Rooms Available,$30-$50,none
American,Good Out of Town Business,Open on Sundays,$30-$50,none
American,Good Out of Town Business,Fine for Dining Alone,$30-$50,none
American,Good Out of Town Business,Dancing,$30-$50,none
American,Good Out of Town Business,Open for Breakfast,$30-$50,none
American,Good Out of Town Business,Open on Mondays,$30-$50,none
American,Good Out of Town Business,Private Rooms Available,$30-$50,none
Italian,An Historic Spot,Private Parties,$15-$30,none
Italian,An Historic Spot,Open on Sundays,$15-$30,none
Italian,An Historic Spot,Takeout Available,$15-$30,none
Italian,An Historic Spot,Open on Mondays,$15-$30,none
Italian,Excellent Service,Private Parties,$15-$30,none
Italian,Excellent Service,Open on Sundays,$15-$30,none
Italian,Excellent Service,Takeout Available,$15-$30,none
Italian,Excellent Service,Open on Mondays,$15-$30,none
Italian,Excellent Food,Private Parties,$15-$30,none
Italian,Excellent Food,Open on Sundays,$15-$30,none
Italian,Excellent Food,Takeout Available,$15-$30,none
Italian,Excellent Food,Open on Mondays,$15-$30,none
Italian,Good Decor,Private Parties,$15-$30,none
Italian,Good Decor,Open on Sundays,$15-$30,none
Italian,Good Decor,Takeout Available,$15-$30,none
Italian,Good Decor,Open on Mondays,$15-$30,none
Italian,No Reservations,Private Parties,$15-$30,none
Italian,No Reservations,Open on Sundays,$15-$30,none
Italian,No Reservations,Takeout Available,$15-$30,none
Italian,No Reservations,Open on Mondays,$15-$30,none
Italian,No Reservations,Open on Sundays,below $15,Traditional
Italian,No Reservations,Takeout Available,below $15,Traditional
Italian,No Reservations,Fine for Dining Alone,below $15,Traditional
Italian,No Reservations,Open on Mondays,below $15,Traditional
Italian,Good Decor,Open on Sundays,below $15,Traditional
Italian,Good Decor,Takeout Available,below $15,Traditional
Italian,Good Decor,Fine for Dining Alone,below $15,Traditional
Italian,Good Decor,Open on Mondays,below $15,Traditional
Italian,For the Young and Young at Heart,Open on Sundays,below $15,Traditional
Italian,For the Young and Young at Heart,Takeout Available,below $15,Traditional
Italian,For the Young and Young at Heart,Fine for Dining Alone,below $15,Traditional
Italian,For the Young and Young at Heart,Open on Mondays,below $15,Traditional
Italian,Relaxed Senior Scene,Open on Sundays,below $15,Traditional
Italian,Relaxed Senior Scene,Takeout Available,below $15,Traditional
Italian,Relaxed Senior Scene,Fine for Dining Alone,below $15,Traditional
Italian,Relaxed Senior Scene,Open on Mondays,below $15,Traditional
Italian,Good Food,Open on Sundays,below $15,Traditional
Italian,Good Food,Takeout Available,below $15,Traditional
Italian,Good Food,Fine for Dining Alone,below $15,Traditional
Italian,Good Food,Open on Mondays,below $15,Traditional
Italian,Wheelchair Access,Open on Sundays,below $15,Traditional
Italian,Wheelchair Access,Takeout Available,below $15,Traditional
Italian,Wheelchair Access,Fine for Dining Alone,below $15,Traditional
