cuisine,atmosphere,occasion,price,style
French,Good Out of Town Business,Takeout Available,$30-$50,Power Brokers
French,Excellent Decor,Special Brunch Menu,$30-$50,none
American,Quirky,After Hours Dining,below $15,Diners
American,Extraordinary Food,Late Night Menu,$15-$30,Power Brokers
American,Near-perfect Food,none,$30-$50,Power Brokers
French,Parking/Valet,Long Drive,over $50,none
American,Excellent Decor,Takeout Available,$15-$30,none
French,Good Decor,none,$15-$30,none
American,Good Food,Early Dining,$15-$30,none
French,Extraordinary Decor,Weekend Brunch,$30-$50,Power Brokers
American,Excellent Decor,Dining Outdoors,below $15,Deli
American,Romantic,Dancing,$30-$50,Traditional
French,Up and Coming,Private Parties,$30-$50,Cab
Italian,An Historic Spot,Short Drive,$15-$30,none
Italian,Excellent Service,Takeout Available,$15-$30,Power Brokers
Italian,Extraordinary Food,Takeout Available,$30-$50,Power Brokers
American,Pub Feel,Entertainment,$15-$30,Continental
American,Hip Place To Be,After Hours Dining,$15-$30,Hamburgers
American,Excellent Decor,Open on Mondays,$15-$30,none
French,Business Scene,Private Parties,over $50,Californian
American,Creative,Dining After the Theater,$15-$30,none
Indian,Romantic,Dancing,$30-$50,Power Brokers
American,Quirky,Dining Outdoors,$15-$30,Diners
American,Excellent Decor,After Hours Dining,$15-$30,Cab
American,Excellent Food,Private Parties,$15-$30,Hamburgers
American,An Historic Spot,Weekend Jazz Brunch,$15-$30,Traditional
American,Good for Younger Kids,Prix Fixe Menus,$30-$50,Power Brokers
American,Business Scene,Entertainment,$15-$30,Power Brokers
French,Hip Place To Be,Weekend Jazz Brunch,$30-$50,Californian
American,Good for Younger Kids,Weekend Brunch,below $15,Traditional
French,Creative,Dining Outdoors,$30-$50,none
Italian,Quiet for Conversation,Dancing,$30-$50,none
Italian,Wheelchair Access,Catering for Special Events,$15-$30,Coffee Houses
American,Cafe/Garden Dining,Private Parties,below $15,none
American,Good Out of Town Business,Private Rooms Available,$30-$50,none
Italian,For the Young and Young at Heart,Fine for Dining Alone,below $15,Traditional
American,On the Beach,Open for Breakfast,$15-$30,Californian
American,Wheelchair Access,Catering for Special Events,$15-$30,Steakhouses
American,Parking/Valet,Late Night Menu,below $15,Diners
American,Excellent Decor,Weekend Brunch,$30-$50,Cab
Italian,Hip Place To Be,Private Parties,$30-$50,Cab
French,Health Conscious Menus,Weekend Dining,$30-$50,Power Brokers
American,No Smoking Allowed,Private Rooms Available,$15-$30,Continental
American,Excellent Service,Late Night Menu,$15-$30,Oyster Bars
French,Romantic,Late Night Menu,$15-$30,Eclectic
French,Romantic,Delivery Available,$15-$30,none
French,Extraordinary Service,Weekend Brunch,over $50,none
American,Good Service,Dining After the Theater,$15-$30,none
Italian,Business Scene,Weekend Brunch,$15-$30,Power Brokers
American,Good Decor,Private Rooms Available,$15-$30,Hamburgers
Italian,Place for Singles,Late Night Menu,$15-$30,none
American,Place for Singles,Takeout Available,$15-$30,Eclectic
American,Hip Place To Be,Dining Outdoors,$15-$30,none
Italian,Creative,Late Night Menu,$15-$30,Eclectic
French,Good for Younger Kids,Pre-theater Dining,$15-$30,Brasserie
Italian,Extraordinary Decor,Private Rooms Available,$15-$30,Power Brokers
Italian,Quiet for Conversation,Pre-theater Dining,$15-$30,Cab
Italian,Excellent Decor,Delivery Available,$30-$50,Pizza
Mexican,Good Decor,Special Brunch Menu,$15-$30,Southern
Italian,Extraordinary Food,Great Place to Meet for a Drink,$30-$50,Power Brokers
American,On the Beach,Weekend Brunch,$15-$30,none
Italian,Extraordinary Service,Late Night Menu,$15-$30,Pizza
American,Excellent Service,Private Rooms Available,$15-$30,Hamburgers
French,Extraordinary Food,Weekend Jazz Brunch,$15-$30,none
Italian,Fair Decor,Takeout Available,below $15,none
Mexican,Creative,Entertainment,$15-$30,none
American,Good Decor,After Hours Dining,$30-$50,Californian
French,Warm spots by the fire,Weekend Brunch,$30-$50,Californian
French,Romantic,After Hours Dining,$15-$30,none
American,Good Decor,Weekend Lunch,below $15,Cafeterias
American,For the Young and Young at Heart,Delivery Available,below $15,Hamburgers
American,Excellent Food,Early Dining,$15-$30,Continental
French,Good Out of Town Business,Parties and Occasions,over $50,none
American,Fabulous Wine Lists,Dancing,$30-$50,Steakhouses
Italian,Up and Coming,Late Night Menu,$15-$30,none
American,Up and Coming,Weekend Dining,$15-$30,Pizza
French,Near-perfect Food,Private Rooms Available,$30-$50,Continental
Italian,An Historic Spot,Open on Sundays,below $15,Traditional
Italian,Relaxed Senior Scene,Weekend Brunch,$15-$30,Cab
American,Excellent Service,Weekend Lunch,$15-$30,Southwestern
Mexican,Good for Younger Kids,Private Parties,$15-$30,Traditional
French,Good Out of Town Business,Weekend Brunch,$30-$50,High Tea
American,Extraordinary Service,Catering for Special Events,$30-$50,Hamburgers
American,Good Out of Town Business,Special Brunch Menu,$30-$50,Grills
Italian,Hip Place To Be,Weekend Lunch,$15-$30,Pizzerias
American,Relaxed Senior Scene,Delivery Available,$15-$30,Traditional
Italian,Fabulous Wine Lists,Prix Fixe Menus,$15-$30,none
American,Good Service,Fine for Dining Alone,$30-$50,High Tea
French,Extraordinary Food,Special Brunch Menu,$15-$30,none
American,Good for Younger Kids,Open for Breakfast,$15-$30,Omelettes
American,Pub Feel,Short Drive,$15-$30,none
French,Romantic,none,$30-$50,Power Brokers
French,Parking/Valet,Early Dining,$30-$50,Power Brokers
American,Good for Younger Kids,Weekend Lunch,below $15,Deli
American,Singles Scene,Weekend Brunch,$15-$30,Steakhouses
American,Good Out of Town Business,Private Parties,$30-$50,Steakhouses
American,For the Young and Young at Heart,Weekend Jazz Brunch,below $15,Hamburgers
American,Extraordinary Decor,Special Brunch Menu,$30-$50,Californian
American,Focus on Dessert,Weekend Lunch,$15-$30,Southern
French,Good Out of Town Business,Prix Fixe Menus,over $50,none
Italian,Excellent Food,Open on Sundays,$15-$30,none
Italian,Excellent Service,Dining Outdoors,below $15,none
French,Good Food,Weekend Brunch,$15-$30,Continental
Italian,Classic Hotel Dining,Special Brunch Menu,$30-$50,Continental
American,Good Food,Private Rooms Available,$15-$30,Southern
American,Excellent Service,Weekend Dining,$15-$30,Power Brokers
American,Fabulous Wine Lists,Weekend Brunch,$30-$50,Power Brokers
American,Parking/Valet,Private Parties,$30-$50,Traditional
French,Good Decor,Short Drive,$15-$30,Carry in Wine and Beer
Mexican,Authentic,Delivery Available,$30-$50,none
American,Business Scene,Pre-theater Dining,$30-$50,none
American,Excellent Food,Fine for Dining Alone,$30-$50,High Tea
American,Excellent Service,Weekend Jazz Brunch,below $15,Hamburgers
French,Fabulous Wine Lists,Private Rooms Available,$30-$50,High Tea
Indian,Excellent Decor,Weekend Jazz Brunch,$15-$30,none
Italian,Fabulous Wine Lists,Private Rooms Available,$30-$50,Power Brokers
American,Creative,Catering for Special Events,below $15,none
Italian,Excellent Food,Special Brunch Menu,$15-$30,none
American,Extraordinary Service,Great Place to Meet for a Drink,$30-$50,Cab
French,Wheelchair Access,Special Brunch Menu,$15-$30,none
