"rules","support","confidence","lift","conviction"
"{style=Tacos} => {price=below $15}",0.00517303605084814,1,5.21149425287356,NA
"{cuisine=German} => {price=$15-$30}",0.00553394554276777,1,2.12058335813597,NA
"{cuisine=Tapas} => {price=$15-$30}",0.00581465292537194,0.973154362416107,2.06365494583702,19.6840788787746
"{occasion=Dining After the Theater} => {price=$15-$30}",0.00619561294462044,0.936363636363636,1.98563714443641,8.30392589325101
"{atmosphere=Near-perfect Decor} => {price=$30-$50}",0.00535349079680796,0.756373937677054,2.44401644105639,2.83434417522855
"{style=Health Food} => {cuisine=Vegetarian}",0.00659662349119782,0.913888888888889,52.9991795865633,11.4126566689994
"{style=Health Food} => {price=below $15}",0.00589485503468741,0.816666666666667,4.25605363984674,4.4079079279785
"{style=Bakeries} => {price=$15-$30}",0.00631591610859366,0.853658536585366,1.81025408621364,3.61094959297429
"{cuisine=Greek} => {price=$15-$30}",0.00703773509243293,0.933510638297872,1.97958712421736,7.94761198219513
"{atmosphere=Need To Dress} => {price=$30-$50}",0.00607530978064723,0.803713527851459,2.59698143751627,3.51792002332364
"{atmosphere=Pub Feel} => {price=$15-$30}",0.00667682560051329,0.789099526066351,1.67335132288929,2.50559725114029
"{cuisine=Hamburgers & Beer} => {price=$15-$30}",0.00547379396078117,0.643867924528302,1.36537560559227,1.48380807050987
"{cuisine=Jewish} => {style=Deli}",0.00539359185146569,0.580993520518359,54.2630540118588,2.36104467794926
"{style=Deli} => {cuisine=Jewish}",0.00539359185146569,0.50374531835206,54.2630540118588,1.99638742461191
"{cuisine=Jewish} => {price=below $15}",0.00621566347194931,0.669546436285097,3.48933740473176,2.44547658792969
"{atmosphere=People Keep Coming Back} => {cuisine=American}",0.00565424870674099,0.603854389721627,1.65249019659679,1.6018835573754
"{atmosphere=People Keep Coming Back} => {price=$15-$30}",0.00569434976139872,0.60813704496788,1.28960529702488,1.34851136338984
"{atmosphere=Very Busy - Reservations a Must} => {price=$30-$50}",0.00587480450735854,0.579051383399209,1.87104688666357,1.64039049766915
"{cuisine=Creole} => {price=below $15}",0.00633596663592252,0.622047244094488,3.24179563761426,2.1381414497868
"{occasion=Short Drive} => {price=below $15}",0.00561414765208325,0.543689320388349,2.83343376855262,1.77097861078002
"{style=Brasserie} => {cuisine=French}",0.00884228255203112,0.827392120075047,8.06909554099001,5.19942428833705
"{style=Brasserie} => {price=$15-$30}",0.00595500661667402,0.557223264540338,1.18163838155044,1.19344944174574
"{style=Deli} => {price=$15-$30}",0.00645626979989574,0.602996254681648,1.27870382269622,1.331049527829
"{cuisine=Cajun} => {price=below $15}",0.0067369771824999,0.610909090909091,3.18374921630094,2.0769348103014
"{occasion=Parties and Occasions} => {price=$30-$50}",0.0107871837029314,0.96588868940754,3.12100631652165,20.2431421920081
"{atmosphere=Up and Coming} => {price=$15-$30}",0.00868187833340017,0.741438356164384,1.57228183916589,2.04373564428718
"{atmosphere=Quiet for Conversation} => {price=$30-$50}",0.00791995829490316,0.659432387312187,2.13077621540706,2.02755659949347
"{style=Middle Eastern} => {price=$15-$30}",0.00856157516942696,0.694308943089431,1.47233999012043,1.72864608174301
"{atmosphere=Fair Decor} => {price=below $15}",0.0107671331756025,0.849683544303797,4.42812090790048,5.37610103777309
"{atmosphere=Quirky} => {price=$15-$30}",0.00633596663592252,0.498422712933754,1.0569469103643,1.05353982602195
