"rules","support","confidence","lift","conviction"
"{cuisine=Afghanistan} => {style=Middle Eastern}",0.000541364237879456,1,81.0959349593496,NA
"{cuisine=Afghanistan} => {price=$15-$30}",0.000541364237879456,1,2.12058335813597,NA
"{cuisine=Argentinean} => {style=Central}",0.000561414765208325,1,115.986046511628,NA
"{cuisine=Romanian} => {style=Traditional}",0.000601515819866062,1,9.72581903276131,NA
"{cuisine=Romanian} => {price=$15-$30}",0.000601515819866062,1,2.12058335813597,NA
"{atmosphere=Poor Decor} => {price=below $15}",0.000701768456510406,1,5.21149425287356,NA
"{atmosphere=Fair Service} => {price=below $15}",0.000741869511168144,1,5.21149425287356,NA
"{cuisine=Venezuelan} => {price=$30-$50}",0.00080202109315475,1,3.23122772918691,NA
"{cuisine=African} => {style=Traditional}",0.000882223202470225,1,9.72581903276131,NA
"{cuisine=African} => {price=$30-$50}",0.000882223202470225,1,3.23122772918691,NA
"{cuisine=Irish} => {price=$15-$30}",0.000922324257127962,1,2.12058335813597,NA
"{cuisine=Latin} => {price=$15-$30}",0.00136343585836307,1,2.12058335813597,NA
"{cuisine=Burritos} => {style=Tacos}",0.00172434535028271,1,193.31007751938,NA
"{cuisine=Burritos} => {price=below $15}",0.00172434535028271,1,5.21149425287356,NA
"{cuisine=Brazilian} => {price=$15-$30}",0.00176444640494045,1,2.12058335813597,NA
"{cuisine=Lebanese} => {style=Middle Eastern}",0.00178449693226932,1,81.0959349593496,NA
"{cuisine=Salvadoran} => {price=$15-$30}",0.00401010546577375,1,2.12058335813597,NA
"{cuisine=German} => {price=$15-$30}",0.00553394554276777,1,2.12058335813597,NA
"{cuisine=Fountain and Ice Cream,atmosphere=Credit cards are not accepted} => {price=below $15}",0.000902273729799094,1,5.21149425287356,NA
"{cuisine=Fountain and Ice Cream,atmosphere=Fabulous Views} => {price=$30-$50}",0.000521313710550587,1,3.23122772918691,NA
"{cuisine=German,atmosphere=Excellent Decor} => {price=$15-$30}",0.000661667401852669,1,2.12058335813597,NA
"{cuisine=German,atmosphere=Excellent Food} => {price=$15-$30}",0.000781970565825881,1,2.12058335813597,NA
"{cuisine=German,atmosphere=Excellent Service} => {price=$15-$30}",0.0009624253117857,1,2.12058335813597,NA
"{cuisine=Tapas,atmosphere=Up and Coming} => {price=$15-$30}",0.000521313710550587,1,2.12058335813597,NA
"{cuisine=Vegetarian,atmosphere=No Smoking Allowed} => {price=below $15}",0.000862172675141356,1,5.21149425287356,NA
"{cuisine=Spanish,atmosphere=Good Decor} => {price=$15-$30}",0.000521313710550587,1,2.12058335813597,NA
"{cuisine=Greek,atmosphere=Good Decor} => {price=$15-$30}",0.000761920038497012,1,2.12058335813597,NA
"{cuisine=Greek,atmosphere=Parking/Valet} => {price=$15-$30}",0.000842122147812487,1,2.12058335813597,NA
"{cuisine=Bar-B-Q,atmosphere=Pub Feel} => {price=$15-$30}",0.000561414765208325,1,2.12058335813597,NA
"{cuisine=Seafood,atmosphere=Pub Feel} => {price=$15-$30}",0.000822071620483619,1,2.12058335813597,NA
"{cuisine=Hamburgers & Beer,atmosphere=Good Decor} => {price=$15-$30}",0.000541364237879456,1,2.12058335813597,NA
"{cuisine=Jewish,atmosphere=Parking/Valet} => {price=below $15}",0.000661667401852669,1,5.21149425287356,NA
"{cuisine=Mexican,atmosphere=People Keep Coming Back} => {price=$15-$30}",0.000561414765208325,1,2.12058335813597,NA
"{cuisine=Creole,atmosphere=Parking/Valet} => {price=below $15}",0.0006416168745238,1,5.21149425287356,NA
"{cuisine=Cajun,atmosphere=Parking/Valet} => {price=below $15}",0.0006416168745238,1,5.21149425287356,NA
