"rules","support","confidence","lift","conviction"
"{atmosphere=Cafe/Garden Dining,price=$30-$50} => {style=Power Brokers}",0.000541364237879456,1,5.99015133317319,NA
"{atmosphere=Need To Dress,price=over $50} => {cuisine=French}",0.00102257689377231,0.944444444444444,9.21064181115022,16.1543088583229
"{atmosphere=Very Busy - Reservations a Must,price=over $50} => {cuisine=French}",0.00100252636644344,0.943396226415094,9.20041912323551,15.8551549905762
"{atmosphere=Business Scene,price=over $50} => {cuisine=French}",0.000862172675141356,0.934782608695652,9.11641529645815,13.7610779163492
"{atmosphere=Fabulous Wine Lists,price=over $50} => {style=Power Brokers}",0.00134338533103421,0.8375,5.01675174153255,5.12651882744517
"{atmosphere=Great for People Watching,price=below $15} => {cuisine=American}",0.00138348638569194,0.811764705882353,2.22145146453643,3.37120167822914
"{atmosphere=Near-perfect Food,price=over $50} => {style=Power Brokers}",0.00124313269438986,0.775,4.64236728320922,3.70248581982151
"{atmosphere=Quiet for Conversation,price=over $50} => {cuisine=French}",0.00080202109315475,0.754716981132076,7.36033529858841,3.65888192090221
"{atmosphere=Up and Coming,price=below $15} => {style=Tacos}",0.000601515819866062,0.75,144.982558139535,3.97930785579661
"{atmosphere=Parking/Valet,price=over $50} => {cuisine=French}",0.00102257689377231,0.739130434782609,7.20832837394365,3.4402694790873
"{atmosphere=Hip Place To Be,price=over $50} => {style=Power Brokers}",0.0009624253117857,0.738461538461539,4.42349636911251,3.18522677146409
"{atmosphere=Near-perfect Service,price=over $50} => {style=Power Brokers}",0.000942374784456831,0.712121212121212,4.26571382816879,2.8937849697026
"{atmosphere=Parking/Valet,price=over $50} => {style=Power Brokers}",0.000982475839114569,0.710144927536232,4.25387558442734,2.87405461763645
"{atmosphere=Near-perfect Service,price=over $50} => {cuisine=French}",0.000922324257127962,0.696969696969697,6.7971581280146,2.96162329069255
"{atmosphere=Hip Place To Be,price=over $50} => {cuisine=French}",0.000902273729799094,0.692307692307692,6.75169218735898,2.91675021053054
"{atmosphere=Near-perfect Food,price=over $50} => {cuisine=French}",0.00110277900308778,0.6875,6.70480543605788,2.87187713036853
"{atmosphere=An Historic Spot,price=below $15} => {cuisine=American}",0.000741869511168144,0.685185185185185,1.87505766397399,2.0157219723114
"{atmosphere=Credit cards are not accepted,price=below $15} => {cuisine=Fountain and Ice Cream}",0.000902273729799094,0.661764705882353,8.23885495286482,2.71904678049554
"{atmosphere=Romantic,price=over $50} => {style=Power Brokers}",0.00100252636644344,0.657894736842105,3.94088903498236,2.43509644303645
