"rules","support","confidence","lift","conviction"
"{atmosphere=Authentic,price=below $15} => {style=none}",0.000941119932719937,0.886792452830189,1.77122636793113,4.41078550141335
"{atmosphere=Cafe/Garden Dining,price=$15-$30} => {style=none}",0.00274326448473684,0.822822822822823,1.64345724331326,2.8182761214659
"{atmosphere=An Out Of The Way Find,price=$15-$30} => {style=none}",0.0013415964998348,0.817073170731707,1.63197323106472,2.7296936687992
"{atmosphere=Good Food,price=$30-$50} => {style=none}",0.000670798249917402,0.797619047619048,1.59311672556318,2.4672984380825
"{atmosphere=An Out Of The Way Find,price=$30-$50} => {style=none}",0.00103122716032078,0.792307692307692,1.58250814116793,2.40420174081231
"{atmosphere=Very Busy - Reservations a Must,price=over $50} => {cuisine=French}",0.000610726764850172,0.792207792207792,8.31422785473432,4.35394869895175
"{atmosphere=Great for People Watching,price=below $15} => {cuisine=American}",0.000871036533474835,0.783783783783784,2.69048727044397,3.27766041589491
"{atmosphere=Buffet Dining,price=$15-$30} => {style=none}",0.0018021445520169,0.775862068965517,1.54966063371818,2.22779877284738
"{atmosphere=Need To Dress,price=$15-$30} => {style=none}",0.00066078633573953,0.767441860465116,1.53284261133674,2.14713709314084
"{atmosphere=Romantic,price=$15-$30} => {style=none}",0.00502598091729158,0.764079147640791,1.5261261292521,2.11653273847491
"{atmosphere=Good Service,price=$30-$50} => {style=none}",0.000991179503609295,0.755725190839695,1.50944043406442,2.04414941280123
"{atmosphere=Old World Cafe Charm,price=$30-$50} => {style=none}",0.000770917391696118,0.733333333333333,1.46471627305511,1.87250327890189
"{atmosphere=Extraordinary Food,price=$15-$30} => {style=none}",0.0141868823900442,0.724067450178845,1.44620915054519,1.80962415644988
"{atmosphere=Little Known But Well Liked,price=$30-$50} => {style=none}",0.0010612629028544,0.716216216216216,1.43052756397888,1.75955863668241
"{atmosphere=Need To Dress,price=over $50} => {cuisine=French}",0.000670798249917402,0.705263157894737,7.40174314108272,3.06957422189548
"{atmosphere=No Smoking Allowed,price=$30-$50} => {style=none}",0.000650774421561658,0.691489361702128,1.38113961917672,1.61853156980945
"{atmosphere=Very Busy - Reservations a Must,price=$15-$30} => {style=none}",0.00327389593616404,0.691331923890063,1.38082516227855,1.61770602907871
"{atmosphere=Fabulous Views,price=$15-$30} => {style=none}",0.00115137013045524,0.68452380952381,1.36722704059527,1.58279522443028
"{atmosphere=Fair Decor,price=$15-$30} => {style=none}",0.00201239474975221,0.683673469387755,1.3655286219113,1.57854039855816
"{atmosphere=Little Known But Well Liked,price=$15-$30} => {style=none}",0.00260309768624663,0.680628272251309,1.35944632672892,1.56348907659131
"{atmosphere=Near-perfect Service,price=over $50} => {cuisine=French}",0.000680810164095273,0.673267326732673,7.06594660726974,2.76898114817239
"{atmosphere=Little Known But Well Liked,price=below $15} => {style=none}",0.000640762507383787,0.666666666666667,1.33156024823191,1.49800262312151
"{atmosphere=Parking/Valet,price=over $50} => {cuisine=French}",0.000620738679028043,0.666666666666667,6.99667262092396,2.71414983830759
"{atmosphere=Quirky,price=$15-$30} => {style=none}",0.00605720807761236,0.656894679695983,1.31204226413731,1.45533799145033
"{atmosphere=Creative,price=$15-$30} => {style=none}",0.00351418187643296,0.651205936920223,1.30067990852338,1.43160179762854
"{atmosphere=An Historic Spot,price=below $15} => {cuisine=American}",0.000510607623071455,0.645569620253165,2.21604080284931,1.99949940429111
"{atmosphere=Quiet for Conversation,price=over $50} => {cuisine=French}",0.000800953134229733,0.645161290322581,6.77097350411996,2.54965590871319
"{atmosphere=Place for Singles,price=below $15} => {cuisine=American}",0.000520619537249327,0.634146341463415,2.17682822049377,1.93706777732168
"{atmosphere=Excellent Decor,price=$30-$50} => {style=none}",0.00681811355513061,0.629972247918594,1.25826900422655,1.34945069632863
"{atmosphere=Excellent Service,price=$15-$30} => {style=none}",0.0364533795216307,0.627434085817681,1.25319943059083,1.34025735768951
"{atmosphere=Good Decor,price=$15-$30} => {style=none}",0.0242989157096945,0.619132653061224,1.23661864379803,1.31104493919097
"{atmosphere=Excellent Food,price=$30-$50} => {style=none}",0.0059370651074779,0.615145228215768,1.2286543991725,1.29746139145475
"{atmosphere=Extraordinary Service,price=$15-$30} => {style=none}",0.00422502778306184,0.613372093023256,1.22511284466686,1.29151103346817
"{atmosphere=Good Decor,price=$30-$50} => {style=none}",0.00130154884312332,0.613207547169811,1.22478419059068,1.29096161016976
"{atmosphere=Extraordinary Decor,price=$15-$30} => {style=none}",0.00571680299556472,0.610042735042735,1.21846298355837,1.28048443401072
"{atmosphere=Wheelchair Access,price=$15-$30} => {style=none}",0.0227070213554129,0.608695652173913,1.21577240055957,1.27607630858499
"{atmosphere=Near-perfect Food,price=over $50} => {cuisine=French}",0.000820976962585477,0.607407407407407,6.37474616573072,2.30446684384606
