"rules","support","confidence","lift","conviction"
"{cuisine=Mexican,occasion=Margaritas} => {price=$15-$30}",0.000621566347194931,1,2.12058335813597,NA
"{cuisine=French,occasion=Walk} => {price=$30-$50}",0.00080202109315475,1,3.23122772918691,NA
"{cuisine=Seafood,occasion=Early Dining} => {price=$15-$30}",0.000521313710550587,1,2.12058335813597,NA
"{cuisine=French,occasion=Early Dining} => {price=$30-$50}",0.000781970565825881,1,3.23122772918691,NA
"{cuisine=French,occasion=See the Game} => {price=$30-$50}",0.000521313710550587,1,3.23122772918691,NA
"{cuisine=Fountain and Ice Cream,occasion=Open on Sundays} => {price=below $15}",0.00130328427637647,1,5.21149425287356,NA
"{cuisine=Fountain and Ice Cream,occasion=Open on Mondays} => {price=below $15}",0.00130328427637647,1,5.21149425287356,NA
"{cuisine=Salvadoran,occasion=Weekend Lunch} => {price=$15-$30}",0.000501263183221719,1,2.12058335813597,NA
"{cuisine=Salvadoran,occasion=Dining Outdoors} => {price=$15-$30}",0.000561414765208325,1,2.12058335813597,NA
"{cuisine=Salvadoran,occasion=Weekend Dining} => {price=$15-$30}",0.000741869511168144,1,2.12058335813597,NA
"{cuisine=Pacific New Wave,occasion=Weekend Jazz Brunch} => {price=$30-$50}",0.000681717929181537,1,3.23122772918691,NA
"{cuisine=Caribbean,occasion=Weekend Jazz Brunch} => {style=Central}",0.000681717929181537,1,115.986046511628,NA
"{cuisine=Caribbean,occasion=Weekend Lunch} => {style=Central}",0.0006416168745238,1,115.986046511628,NA
"{cuisine=German,occasion=Weekend Brunch} => {price=$15-$30}",0.000781970565825881,1,2.12058335813597,NA
"{cuisine=German,occasion=Private Parties} => {price=$15-$30}",0.000822071620483619,1,2.12058335813597,NA
"{cuisine=German,occasion=Private Rooms Available} => {price=$15-$30}",0.000982475839114569,1,2.12058335813597,NA
"{cuisine=Tapas,occasion=Dining Outdoors} => {price=$15-$30}",0.000561414765208325,1,2.12058335813597,NA
"{cuisine=Tapas,occasion=Weekend Brunch} => {price=$15-$30}",0.000581465292537194,1,2.12058335813597,NA
"{cuisine=Tapas,occasion=Weekend Dining} => {price=$15-$30}",0.000781970565825881,1,2.12058335813597,NA
"{cuisine=Bar-B-Q,occasion=Dining After the Theater} => {price=$15-$30}",0.000581465292537194,1,2.12058335813597,NA
"{cuisine=Italian,occasion=Dining After the Theater} => {style=Pizza}",0.000601515819866062,1,19.7052548399842,NA
"{cuisine=Seafood,occasion=Dining After the Theater} => {price=$15-$30}",0.00122308216706099,1,2.12058335813597,NA
"{cuisine=Fountain and Ice Cream,occasion=Dining After the Theater} => {price=$15-$30}",0.000842122147812487,1,2.12058335813597,NA
"{cuisine=Italian,occasion=Dining After the Theater} => {price=$15-$30}",0.000601515819866062,1,2.12058335813597,NA
"{cuisine=Spanish,occasion=Weekend Brunch} => {price=$15-$30}",0.000701768456510406,1,2.12058335813597,NA
"{cuisine=Greek,occasion=After Hours Dining} => {price=$15-$30}",0.000601515819866062,1,2.12058335813597,NA
"{cuisine=Greek,occasion=Late Night Menu} => {price=$15-$30}",0.000601515819866062,1,2.12058335813597,NA
"{cuisine=Greek,occasion=Private Parties} => {price=$15-$30}",0.000982475839114569,1,2.12058335813597,NA
"{cuisine=Greek,occasion=Private Rooms Available} => {price=$15-$30}",0.00112282953041665,1,2.12058335813597,NA
"{cuisine=Hamburgers & Beer,occasion=Dancing} => {price=$15-$30}",0.000561414765208325,1,2.12058335813597,NA
"{cuisine=Hamburgers & Beer,occasion=Entertainment} => {price=$15-$30}",0.000561414765208325,1,2.12058335813597,NA
"{cuisine=Creole,occasion=Short Drive} => {price=below $15}",0.000882223202470225,1,5.21149425287356,NA
"{cuisine=Creole,occasion=Open for Breakfast} => {price=below $15}",0.000882223202470225,1,5.21149425287356,NA
"{cuisine=Creole,occasion=Delivery Available} => {price=below $15}",0.000561414765208325,1,5.21149425287356,NA
"{cuisine=Creole,occasion=Entertainment} => {price=$15-$30}",0.000501263183221719,1,2.12058335813597,NA
"{cuisine=Creole,occasion=Takeout Available} => {price=below $15}",0.0006416168745238,1,5.21149425287356,NA
"{cuisine=Cajun,occasion=Short Drive} => {price=below $15}",0.000882223202470225,1,5.21149425287356,NA
"{cuisine=Cajun,occasion=Open for Breakfast} => {price=below $15}",0.000882223202470225,1,5.21149425287356,NA
"{cuisine=Cajun,occasion=Delivery Available} => {price=below $15}",0.000561414765208325,1,5.21149425287356,NA
"{cuisine=Cajun,occasion=Entertainment} => {price=$15-$30}",0.000501263183221719,1,2.12058335813597,NA
"{cuisine=Wine and Beer,occasion=Parties and Occasions} => {price=$30-$50}",0.00230581064281991,1,3.23122772918691,NA
"{cuisine=Fountain and Ice Cream,occasion=Parties and Occasions} => {price=$30-$50}",0.00230581064281991,1,3.23122772918691,NA
"{cuisine=French,occasion=Parties and Occasions} => {price=$30-$50}",0.00306773068131692,1,3.23122772918691,NA
"{cuisine=Italian,occasion=Parties and Occasions} => {style=Power Brokers}",0.000561414765208325,1,5.99015133317319,NA
"{cuisine=Bar-B-Q,occasion=Pre-theater Dining} => {price=$15-$30}",0.000581465292537194,1,2.12058335813597,NA
"{cuisine=Seafood,occasion=Pre-theater Dining} => {price=$15-$30}",0.000942374784456831,1,2.12058335813597,NA
"{cuisine=Vegetarian,occasion=Fine for Dining Alone} => {price=below $15}",0.000942374784456831,1,5.21149425287356,NA
"{cuisine=Bar-B-Q,occasion=Weekend Lunch} => {price=$15-$30}",0.00144363796767855,1,2.12058335813597,NA
"{cuisine=Mexican,occasion=Weekend Jazz Brunch} => {style=Traditional}",0.000521313710550587,1,9.72581903276131,NA
"{cuisine=Mexican,occasion=Weekend Jazz Brunch} => {price=$15-$30}",0.000521313710550587,1,2.12058335813597,NA
