"rules","support","confidence","lift","conviction"
"{atmosphere=Fair Decor,price=$15-$30} => {style=none}",0.00201239474975221,0.683673469387755,1.3655286219113,1.57854039855816
"{atmosphere=Excellent Decor,price=$30-$50} => {style=none}",0.00681811355513061,0.629972247918594,1.25826900422655,1.34945069632863
"{atmosphere=Good Decor,price=$15-$30} => {style=none}",0.0242989157096945,0.619132653061224,1.23661864379803,1.31104493919097
"{atmosphere=Good Decor,price=$30-$50} => {style=none}",0.00130154884312332,0.613207547169811,1.22478419059068,1.29096161016976
"{atmosphere=Extraordinary Decor,price=$15-$30} => {style=none}",0.00571680299556472,0.610042735042735,1.21846298355837,1.28048443401072
"{atmosphere=Excellent Decor,price=$15-$30} => {style=none}",0.0262512389743795,0.601238248108232,1.20087742634628,1.25221189178319
"{atmosphere=Excellent Decor} => {style=none}",0.0344610086002343,0.595604775912788,1.18962546489382,1.2347678161488
"{atmosphere=Poor Decor} => {style=none}",0.000500595708893583,0.588235294117647,1.1749061013811,1.21266879014599
"{price=$15-$30} => {style=none}",0.332555741332185,0.585458711553715,1.169360320929,1.20454637842878
"{atmosphere=Good Decor} => {style=none}",0.0311470650073588,0.573139277818718,1.14475421856563,1.16978251162474
"{atmosphere=Near-perfect Decor,price=over $50} => {cuisine=French}",0.00078092930587399,0.561151079136691,5.88928558739643,2.06156736352325
"{price=over $50} => {cuisine=French}",0.0119041659574894,0.522637362637363,5.48508378875511,1.8952396814456
"{atmosphere=Near-perfect Decor,price=$30-$50} => {cuisine=American}",0.00167198966770457,0.498507462686567,1.71122190880837,1.41314831315933
"{atmosphere=Fair Decor} => {style=none}",0.0061473153052132,0.492776886035313,0.984243169038197,0.984446871523949
