"rules","support","confidence","lift","conviction","lhs","rhs"
"{cuisine=Fountain and Ice Cream,atmosphere=Credit cards are not accepted} => {price=below $15}",0.000500595708893583,1,6.2285482664006,NA,"cuisine=Fountain and Ice Cream,atmosphere=Credit cards are not accepted","price=below $15"
"{cuisine=American,atmosphere=Old World Cafe Charm} => {style=none}",0.00054064336560507,0.675,1.34820475133481,1.5364129467913,"cuisine=American,atmosphere=Old World Cafe Charm","style=none"
"{cuisine=French,atmosphere=Near-perfect Service} => {price=over $50}",0.000680810164095273,0.586206896551724,25.7366729821902,2.36162199684291,"cuisine=French,atmosphere=Near-perfect Service","price=over $50"
"{cuisine=American,atmosphere=Fabulous Views} => {style=none}",0.0006007148506723,0.517241379310345,1.03310708914545,1.03433514453628,"cuisine=American,atmosphere=Fabulous Views","style=none"
"{cuisine=American,atmosphere=Fabulous Views} => {price=$15-$30}",0.000871036533474835,0.75,1.32036221027584,1.7278961964738,"cuisine=American,atmosphere=Fabulous Views","price=$15-$30"
"{cuisine=American,atmosphere=Buffet Dining} => {style=none}",0.000500595708893583,0.561797752808989,1.1221013327797,1.13950626887021,"cuisine=American,atmosphere=Buffet Dining","style=none"
"{cuisine=American,atmosphere=Buffet Dining} => {price=$15-$30}",0.000630750593205915,0.707865168539326,1.24618455801316,1.47868039890547,"cuisine=American,atmosphere=Buffet Dining","price=$15-$30"
"{cuisine=French,atmosphere=An Out Of The Way Find} => {style=none}",0.000750893563340375,0.77319587628866,1.54433533944423,2.2016099157998,"cuisine=French,atmosphere=An Out Of The Way Find","style=none"
"{cuisine=American,atmosphere=An Out Of The Way Find} => {price=$30-$50}",0.000670798249917402,0.598214285714286,2.40588850700337,1.87003689946592,"cuisine=American,atmosphere=An Out Of The Way Find","price=$30-$50"
"{cuisine=American,atmosphere=An Out Of The Way Find} => {style=none}",0.00084100079094122,0.75,1.4980052792609,1.99733683082869,"cuisine=American,atmosphere=An Out Of The Way Find","style=none"
"{cuisine=Mexican,atmosphere=Authentic} => {style=none}",0.000620738679028043,0.794871794871795,1.58762952673805,2.43425426257246,"cuisine=Mexican,atmosphere=Authentic","style=none"
"{cuisine=French,atmosphere=Near-perfect Food} => {price=over $50}",0.000820976962585477,0.529032258064516,23.2264927330734,2.07492532552093,"cuisine=French,atmosphere=Near-perfect Food","price=over $50"
"{cuisine=American,atmosphere=Near-perfect Food} => {price=$30-$50}",0.000941119932719937,0.770491803278688,3.09875143157957,3.273757199639,"cuisine=American,atmosphere=Near-perfect Food","price=$30-$50"
"{cuisine=Fountain and Ice Cream,atmosphere=Cafe/Garden Dining} => {style=none}",0.000550655279782942,0.625,1.24833773271742,1.33155788721912,"cuisine=Fountain and Ice Cream,atmosphere=Cafe/Garden Dining","style=none"
"{cuisine=Fountain and Ice Cream,atmosphere=Cafe/Garden Dining} => {price=$15-$30}",0.000630750593205915,0.715909090909091,1.2603457461724,1.52054865289695,"cuisine=Fountain and Ice Cream,atmosphere=Cafe/Garden Dining","price=$15-$30"
"{cuisine=Seafood,atmosphere=Cafe/Garden Dining} => {style=none}",0.000500595708893583,0.806451612903226,1.61075836479667,2.57989340648705,"cuisine=Seafood,atmosphere=Cafe/Garden Dining","style=none"
