"rules","support","confidence","lift","conviction","lhs","rhs"
"{price=below $15,style=Cafeterias} => {cuisine=American}",0.000590702936494428,1,3.43269065539403,NA,"price=below $15,style=Cafeterias","cuisine=American"
"{price=$30-$50,style=Caviar} => {cuisine=Russian}",0.000630750593205915,1,245.407862407862,NA,"price=$30-$50,style=Caviar","cuisine=Russian"
"{price=$15-$30,style=Oyster Bars} => {cuisine=Seafood}",0.000610726764850172,0.628865979381443,9.3818913945628,2.51383646539382,"price=$15-$30,style=Oyster Bars","cuisine=Seafood"
"{price=$15-$30,style=Pizzerias} => {cuisine=Italian}",0.00132157267147906,1,5.9630447761194,NA,"price=$15-$30,style=Pizzerias","cuisine=Italian"
"{price=$15-$30,style=Pastries} => {cuisine=Coffee and Dessert}",0.000851012705119092,0.54140127388535,58.7779354749377,2.16047054327984,"price=$15-$30,style=Pastries","cuisine=Coffee and Dessert"
"{price=below $15,style=Pastry Shops} => {cuisine=Wine and Beer}",0.000971155675253552,0.5,21.9518681318681,1.95444579049068,"price=below $15,style=Pastry Shops","cuisine=Wine and Beer"
"{price=below $15,style=Pastry Shops} => {cuisine=Fountain and Ice Cream}",0.000971155675253552,0.5,8.96597845601436,1.88846727605851,"price=below $15,style=Pastry Shops","cuisine=Fountain and Ice Cream"
"{price=below $15,style=Coffee Houses} => {cuisine=Italian}",0.000881048447652707,0.511627906976744,3.05086011801458,1.70423422920895,"price=below $15,style=Coffee Houses","cuisine=Italian"
"{price=$15-$30,style=Coffee Houses} => {cuisine=Italian}",0.0006007148506723,1,5.9630447761194,NA,"price=$15-$30,style=Coffee Houses","cuisine=Italian"
"{price=below $15,style=Tacos} => {cuisine=Mexican}",0.00172204923859393,0.666666666666667,13.8868265554397,2.85597861455132,"price=below $15,style=Tacos","cuisine=Mexican"
"{price=$15-$30,style=Southern Comfort} => {cuisine=American}",0.000690822078273145,1,3.43269065539403,NA,"price=$15-$30,style=Southern Comfort","cuisine=American"
"{price=below $15,style=Health Food} => {cuisine=Vegetarian}",0.00273325257055897,0.928571428571429,82.8095025510204,13.843013185691,"price=below $15,style=Health Food","cuisine=Vegetarian"
"{price=$15-$30,style=Health Food} => {cuisine=Vegetarian}",0.000560667193960813,0.848484848484849,75.6674242424242,6.52599193039718,"price=$15-$30,style=Health Food","cuisine=Vegetarian"
"{price=$30-$50,style=Brasserie} => {cuisine=French}",0.00156185861174798,0.661016949152542,6.93737878515342,2.66891400766913,"price=$30-$50,style=Brasserie","cuisine=French"
"{price=$15-$30,style=Brasserie} => {cuisine=French}",0.00285339554069343,0.95959595959596,10.0709681664815,22.3917361660376,"price=$15-$30,style=Brasserie","cuisine=French"
"{price=below $15,style=Deli} => {cuisine=Jewish}",0.00141167989907991,0.665094339622642,116.954731929312,2.96893528651208,"price=below $15,style=Deli","cuisine=Jewish"
"{price=$30-$50,style=Grills} => {cuisine=American}",0.000851012705119092,0.876288659793814,3.00802789390198,5.72852360976228,"price=$30-$50,style=Grills","cuisine=American"
"{price=$15-$30,style=Grills} => {cuisine=American}",0.0036743725032789,0.687265917602996,2.35917129312661,2.26608922102332,"price=$15-$30,style=Grills","cuisine=American"
"{price=$30-$50,style=Soulfood} => {cuisine=American}",0.000760905477518247,0.678571428571429,2.32932580187452,2.20479259207346,"price=$30-$50,style=Soulfood","cuisine=American"
"{price=$15-$30,style=Soulfood} => {cuisine=American}",0.00129153692894545,0.518072289156627,1.77838190580654,1.47051791632042,"price=$15-$30,style=Soulfood","cuisine=American"
"{price=below $15,style=Southwestern} => {cuisine=Mexican}",0.00215256154824241,0.495391705069124,10.3191280279477,1.88659774538093,"price=below $15,style=Southwestern","cuisine=Mexican"
"{price=$30-$50,style=Southern} => {cuisine=American}",0.00141167989907991,0.594936708860759,2.04223368105721,1.74956197875472,"price=$30-$50,style=Southern","cuisine=American"
"{price=$15-$30,style=Southern} => {cuisine=American}",0.00381453930176911,0.562776957163959,1.93183920192781,1.62087370457331,"price=$15-$30,style=Southern","cuisine=American"
"{price=below $15,style=Diners} => {cuisine=American}",0.00654779187232807,0.64180569185476,2.20312040100853,1.97848853834693,"price=below $15,style=Diners","cuisine=American"
"{price=$15-$30,style=Diners} => {cuisine=American}",0.00248295471611217,0.502024291497976,1.72329409420591,1.42312831944811,"price=$15-$30,style=Diners","cuisine=American"
"{price=$15-$30,style=Coffee Shops} => {cuisine=American}",0.00319380062274106,0.556719022687609,1.91104418685985,1.59872263741884,"price=$15-$30,style=Coffee Shops","cuisine=American"
"{price=$30-$50,style=Steakhouses} => {cuisine=American}",0.00342407464883211,0.533541341653666,1.83148237776093,1.51928433632009,"price=$30-$50,style=Steakhouses","cuisine=American"
"{price=below $15,style=Eclectic} => {cuisine=American}",0.00140166798490203,0.669856459330144,2.29941000839791,2.14659154538829,"price=below $15,style=Eclectic","cuisine=American"
"{price=$15-$30,style=Eclectic} => {cuisine=American}",0.00725863777895696,0.490196078431373,1.68269149774217,1.3901096150573,"price=$15-$30,style=Eclectic","cuisine=American"
"{price=over $50,style=Californian} => {cuisine=French}",0.000550655279782942,1,10.4950089313859,NA,"price=over $50,style=Californian","cuisine=French"
"{price=over $50,style=Continental} => {cuisine=French}",0.000680810164095273,0.860759493670886,9.03367857385119,6.49751021897877,"price=over $50,style=Continental","cuisine=French"
"{price=over $50,style=High Tea} => {cuisine=American}",0.000790941220051862,0.642276422764228,2.20473627460267,1.98109204498808,"price=over $50,style=High Tea","cuisine=American"
"{price=over $50,style=Cab} => {cuisine=French}",0.000931108018542065,0.688888888888889,7.22989504162143,2.90801768390098,"price=over $50,style=Cab","cuisine=French"
"{price=over $50,style=Power Brokers} => {cuisine=French}",0.00524624302920475,0.598857142857143,6.28501106290998,2.25534768140469,"price=over $50,style=Power Brokers","cuisine=French"
"{price=below $15,style=Pizza} => {cuisine=Italian}",0.006007148506723,0.842696629213483,5.02503773268489,5.29105278138127,"price=below $15,style=Pizza","cuisine=Italian"
"{price=$15-$30,style=Pizza} => {cuisine=Italian}",0.0133659054274587,0.752112676056338,4.48488156401093,3.35757562863444,"price=$15-$30,style=Pizza","cuisine=Italian"
"{price=$30-$50,style=High Tea} => {cuisine=American}",0.0112233557933941,0.577239958805355,1.98148621251118,1.67632525336088,"price=$30-$50,style=High Tea","cuisine=American"
