"rules","support","confidence","lift","conviction","lhs","rhs"
"{cuisine=Dim Sum} => {style=none}",0.00511608814489242,0.840460526315789,1.67868574057527,3.1298474050099,"cuisine=Dim Sum","style=none"
"{style=Grills} => {price=$15-$30}",0.00534636217098347,0.821538461538462,1.44630445187139,2.42054424074994,"style=Grills","price=$15-$30"
"{cuisine=Hamburgers & Beer} => {price=$15-$30}",0.00502598091729158,0.734992679355783,1.29394207820102,1.63004572125913,"cuisine=Hamburgers & Beer","price=$15-$30"
"{occasion=Dining After the Theater} => {price=$15-$30}",0.00537639791351709,0.785087719298246,1.38213354175074,2.01000169793891,"occasion=Dining After the Theater","price=$15-$30"
"{cuisine=Tapas} => {price=$15-$30}",0.00562669576796388,0.814492753623188,1.43390060323676,2.32861010852915,"cuisine=Tapas","price=$15-$30"
"{style=Carry in Wine and Beer} => {price=below $15}",0.00510607623071455,0.724431818181818,4.5121585452618,3.04624771519345,"style=Carry in Wine and Beer","price=below $15"
"{occasion=Parties and Occasions} => {price=$30-$50}",0.0065377799581502,0.912011173184358,3.66791173701739,8.53919910725508,"occasion=Parties and Occasions","price=$30-$50"
"{cuisine=Greek} => {price=$15-$30}",0.00657782761486169,0.876,1.54218306160219,3.48366168643912,"cuisine=Greek","price=$15-$30"
"{atmosphere=People Keep Coming Back} => {price=$15-$30}",0.00538640982769496,0.659313725490196,1.16071057047125,1.26795260460668,"atmosphere=People Keep Coming Back","price=$15-$30"
"{cuisine=Caribbean} => {style=none}",0.00622741061863618,0.710857142857143,1.41982367040043,1.72694637052876,"cuisine=Caribbean","style=none"
"{cuisine=Caribbean} => {price=$15-$30}",0.00673801824170763,0.769142857142857,1.35406288383336,1.87117471771606,"cuisine=Caribbean","price=$15-$30"
"{occasion=Open on Sundays} => {style=none}",0.0073487450065578,0.811946902654867,1.62173432887537,2.65528308098402,"occasion=Open on Sundays","style=none"
"{cuisine=Indian} => {style=none}",0.00748891180504801,0.827433628318584,1.65266659127899,2.89357771645694,"cuisine=Indian","style=none"
"{cuisine=Indian} => {price=$15-$30}",0.00632752976041489,0.699115044247788,1.23078011341347,1.43567845736426,"cuisine=Indian","price=$15-$30"
"{occasion=Open on Mondays} => {style=none}",0.0073487450065578,0.811946902654867,1.62173432887537,2.65528308098402,"occasion=Open on Mondays","style=none"
"{cuisine=Coffee and Dessert} => {price=$15-$30}",0.00633754167459277,0.68804347826087,1.21128881029653,1.38472517487448,"cuisine=Coffee and Dessert","price=$15-$30"
"{cuisine=Spanish} => {style=none}",0.00668795867081827,0.658777120315582,1.31580213878538,1.46336672432102,"cuisine=Spanish","style=none"
"{cuisine=Spanish} => {price=$15-$30}",0.00806960282736456,0.794871794871795,1.39935823995047,2.10587348945245,"cuisine=Spanish","price=$15-$30"
"{atmosphere=Quiet for Conversation} => {price=$30-$50}",0.00610726764850172,0.577105014191107,2.32099158133368,1.77669193678285,"atmosphere=Quiet for Conversation","price=$30-$50"
"{atmosphere=Very Busy - Reservations a Must} => {style=none}",0.0055466004545409,0.522641509433962,1.04389298705728,1.0460360872917,"atmosphere=Very Busy - Reservations a Must","style=none"
"{occasion=Long Drive} => {style=none}",0.00846006748030156,0.788246268656716,1.57439609574063,2.35808929807087,"occasion=Long Drive","style=none"
"{occasion=Long Drive} => {price=$15-$30}",0.00684814929766422,0.638059701492537,1.12329322366751,1.19349531096644,"occasion=Long Drive","price=$15-$30"
"{cuisine=Thai} => {style=none}",0.00850011513701305,0.785383903792784,1.5686789788375,2.32663913160109,"cuisine=Thai","style=none"
"{cuisine=Thai} => {price=$15-$30}",0.00858021045043602,0.792784458834413,1.39568352045192,2.08466047811181,"cuisine=Thai","price=$15-$30"
"{atmosphere=Creative} => {style=none}",0.00612729147685746,0.56043956043956,1.11938856032683,1.13598532253382,"atmosphere=Creative","style=none"
"{atmosphere=Creative} => {price=$15-$30}",0.00539642174187283,0.493589743589744,0.868956326420855,0.853012046360485,"atmosphere=Creative","price=$15-$30"
"{cuisine=Vegetarian} => {price=below $15}",0.00644767273054935,0.575,3.58141525318034,1.97517398645565,"cuisine=Vegetarian","price=below $15"
"{atmosphere=Classic Hotel Dining} => {price=$30-$50}",0.00739880457744716,0.61686143572621,2.48088331233218,1.96105060010519,"atmosphere=Classic Hotel Dining","price=$30-$50"
"{atmosphere=Classic Hotel Dining} => {cuisine=American}",0.0060772319059681,0.506677796327212,1.73926813674806,1.43655267873677,"atmosphere=Classic Hotel Dining","cuisine=American"
"{cuisine=Cajun} => {style=none}",0.00663789909992892,0.546578730420445,1.0917037649354,1.10125889808873,"cuisine=Cajun","style=none"
"{cuisine=Cajun} => {price=$15-$30}",0.00691823269690932,0.569661995053586,1.00288022786547,1.00380176548023,"cuisine=Cajun","price=$15-$30"
"{atmosphere=Fair Decor} => {price=below $15}",0.00946125889808873,0.758426966292135,4.72389896609034,3.4749281877993,"atmosphere=Fair Decor","price=below $15"
"{atmosphere=Fair Decor} => {style=none}",0.0061473153052132,0.492776886035313,0.984243169038197,0.984446871523949,"atmosphere=Fair Decor","style=none"
"{cuisine=Mediterranean} => {price=$15-$30}",0.00790941220051862,0.631494804156675,1.11173583385869,1.17223326561211,"cuisine=Mediterranean","price=$15-$30"
"{atmosphere=Up and Coming} => {style=none}",0.00818974579749902,0.583452211126961,1.16535265661951,1.19874410822852,"atmosphere=Up and Coming","style=none"
"{atmosphere=Up and Coming} => {price=$15-$30}",0.0106526766852555,0.758915834522111,1.3360583849106,1.79179768302979,"atmosphere=Up and Coming","price=$15-$30"
"{occasion=Short Drive} => {style=none}",0.00922097295781981,0.641364902506964,1.28102401318412,1.39231829566505,"occasion=Short Drive","style=none"
"{occasion=Short Drive} => {price=$15-$30}",0.00860023427879176,0.598189415041783,1.05310226427758,1.07506886401056,"occasion=Short Drive","price=$15-$30"
"{occasion=Game} => {price=$30-$50}",0.00707842332375527,0.491997216423104,1.97870642132297,1.47903542201521,"occasion=Game","price=$30-$50"
"{occasion=Game} => {style=none}",0.00721859012224547,0.501739735560195,1.00214503024552,1.00215538613856,"occasion=Game","style=none"
"{style=Southwestern} => {price=$15-$30}",0.00972156866671339,0.6719723183391,1.1829958073152,1.31688291345182,"style=Southwestern","price=$15-$30"
"{atmosphere=Quirky} => {style=none}",0.00824981728256625,0.565157750342936,1.12881239150524,1.14831115904898,"atmosphere=Quirky","style=none"
"{atmosphere=Quirky} => {price=$15-$30}",0.00922097295781981,0.631687242798354,1.11207461880572,1.17284574229926,"atmosphere=Quirky","price=$15-$30"
"{atmosphere=Singles Scene} => {style=none}",0.00752895946175949,0.513310580204778,1.02525594539631,1.0259812262146,"atmosphere=Singles Scene","style=none"
"{atmosphere=Singles Scene} => {price=$15-$30}",0.00977162823760275,0.666211604095563,1.17285416812671,1.29415538232828,"atmosphere=Singles Scene","price=$15-$30"
"{atmosphere=Fabulous Wine Lists} => {price=$30-$50}",0.0106827124277891,0.714190093708166,2.87231812964225,2.6288595841229,"atmosphere=Fabulous Wine Lists","price=$30-$50"
"{style=Diners} => {price=below $15}",0.0102021405472512,0.67349636483807,4.19490461563927,2.57102480291628,"style=Diners","price=below $15"
"{style=Diners} => {cuisine=American}",0.00903074658844024,0.596166556510245,2.04645536759115,1.75489015234184,"style=Diners","cuisine=American"
"{atmosphere=Place for Singles} => {style=none}",0.00807961474154244,0.526075619295958,1.05075207332773,1.05361578352517,"atmosphere=Place for Singles","style=none"
