"rules","support","confidence","lift","conviction","lhs","rhs"
"{cuisine=Pacific Rim} => {style=none}",0.000510607623071455,1,1.99734037234787,NA,"cuisine=Pacific Rim","style=none"
"{cuisine=Pacific Rim} => {price=$15-$30}",0.000510607623071455,1,1.76048294703446,NA,"cuisine=Pacific Rim","price=$15-$30"
"{cuisine=Austrian} => {price=$15-$30}",0.00054064336560507,1,1.76048294703446,NA,"cuisine=Austrian","price=$15-$30"
"{atmosphere=Fair Service} => {price=below $15}",0.000530631451427198,0.883333333333333,5.50188430198719,7.19527666494557,"atmosphere=Fair Service","price=below $15"
"{atmosphere=Tourist Appeal} => {price=$15-$30}",0.000510607623071455,0.80952380952381,1.42515286188504,2.26786375787187,"atmosphere=Tourist Appeal","price=$15-$30"
"{atmosphere=Fair Food} => {style=none}",0.000650774421561658,0.915492957746479,1.82855104510721,5.90878812453488,"atmosphere=Fair Food","style=none"
"{atmosphere=Poor Decor} => {price=below $15}",0.000790941220051862,0.929411764705882,5.78888603583114,11.892193376785,"atmosphere=Poor Decor","price=below $15"
"{atmosphere=Poor Decor} => {style=none}",0.000500595708893583,0.588235294117647,1.1749061013811,1.21266879014599,"atmosphere=Poor Decor","style=none"
"{cuisine=Burritos} => {style=Tacos}",0.000861024619296963,1,387.135658914729,NA,"cuisine=Burritos","style=Tacos"
"{cuisine=Burritos} => {price=below $15}",0.000861024619296963,1,6.2285482664006,NA,"cuisine=Burritos","price=below $15"
"{cuisine=Turkish} => {style=none}",0.00054064336560507,0.580645161290323,1.1597460226536,1.19072003376326,"cuisine=Turkish","style=none"
"{cuisine=Turkish} => {price=$15-$30}",0.000570679108138685,0.612903225806452,1.07900567721467,1.11593296022266,"cuisine=Turkish","price=$15-$30"
"{cuisine=Afghanistan} => {style=none}",0.000700833992451017,0.721649484536082,1.44137965014795,1.79390437583688,"cuisine=Afghanistan","style=none"
"{cuisine=Afghanistan} => {price=$15-$30}",0.000971155675253552,1,1.76048294703446,NA,"cuisine=Afghanistan","price=$15-$30"
"{cuisine=Lebanese} => {style=Middle Eastern}",0.000891060361830578,0.847619047619048,137.660224545103,6.52209254012274,"cuisine=Lebanese","style=Middle Eastern"
"{cuisine=Lebanese} => {price=$15-$30}",0.000871036533474835,0.828571428571429,1.45868587039998,2.51984861985763,"cuisine=Lebanese","price=$15-$30"
"{cuisine=Moroccan} => {style=none}",0.0006007148506723,0.55045871559633,1.09945341597131,1.11076384979759,"cuisine=Moroccan","style=none"
"{cuisine=Moroccan} => {price=$15-$30}",0.000730869734984632,0.669724770642202,1.17903903792216,1.30792142649753,"cuisine=Moroccan","price=$15-$30"
"{cuisine=Ethiopian} => {style=none}",0.00111132247374376,1,1.99734037234787,NA,"cuisine=Ethiopian","style=none"
"{cuisine=Ethiopian} => {price=$15-$30}",0.000981167589431423,0.882882882882883,1.55430025954394,3.68839380401139,"cuisine=Ethiopian","price=$15-$30"
"{cuisine=African} => {style=none}",0.000760905477518247,0.633333333333333,1.26498223582032,1.3618205664741,"cuisine=African","style=none"
"{cuisine=Swiss} => {style=none}",0.00123146544387822,0.976190476190476,1.94978464919673,20.9720367237011,"cuisine=Swiss","style=none"
"{cuisine=Swiss} => {price=$15-$30}",0.00102121524614291,0.80952380952381,1.42515286188504,2.26786375787187,"cuisine=Swiss","price=$15-$30"
"{cuisine=Irish} => {style=none}",0.000810965048407605,0.637795275590551,1.27389425322974,1.37859661693067,"cuisine=Irish","style=none"
"{cuisine=Irish} => {price=$15-$30}",0.000871036533474835,0.68503937007874,1.20600012907085,1.37151760595108,"cuisine=Irish","price=$15-$30"
"{cuisine=Hungarian} => {price=$15-$30}",0.000710845906628888,0.522058823529412,0.919075656172401,0.903822625847836,"cuisine=Hungarian","price=$15-$30"
"{cuisine=Indonesian} => {style=none}",0.00103122716032078,0.700680272108844,1.39949699559069,1.66823019393078,"cuisine=Indonesian","style=none"
"{cuisine=Indonesian} => {price=$15-$30}",0.00107127481703227,0.727891156462585,1.28143996824957,1.58750463051031,"cuisine=Indonesian","price=$15-$30"
"{cuisine=Portuguese} => {style=none}",0.000911084190186322,0.56875,1.13598733677285,1.1578764236688,"cuisine=Portuguese","style=none"
"{cuisine=Portuguese} => {price=$15-$30}",0.00115137013045524,0.71875,1.26534711818102,1.53590773019894,"cuisine=Portuguese","price=$15-$30"
"{atmosphere=Credit cards are not accepted} => {price=below $15}",0.00136162032819055,0.80952380952381,5.04215812041953,4.40710695727916,"atmosphere=Credit cards are not accepted","price=below $15"
"{atmosphere=Credit cards are not accepted} => {style=none}",0.00096114376107568,0.571428571428571,1.14133735562735,1.16511315131673,"atmosphere=Credit cards are not accepted","style=none"
"{cuisine=Polish} => {price=below $15}",0.00123146544387822,0.719298245614035,4.48018384074429,2.990536863868,"cuisine=Polish","price=below $15"
"{cuisine=Polish} => {style=none}",0.00110131055956588,0.64327485380117,1.28483883601325,1.39977294291683,"cuisine=Polish","style=none"
"{atmosphere=Old World Cafe Charm} => {price=$30-$50}",0.00105125098867653,0.606936416184971,2.44096702979549,1.91153325398401,"atmosphere=Old World Cafe Charm","price=$30-$50"
"{atmosphere=Old World Cafe Charm} => {style=none}",0.00105125098867653,0.606936416184971,1.21225860749437,1.27036496960795,"atmosphere=Old World Cafe Charm","style=none"
"{cuisine=Asian} => {style=none}",0.00177210880948329,0.936507936507937,1.8705251106115,7.86451377138797,"cuisine=Asian","style=none"
"{cuisine=Latin} => {style=none}",0.00122145352970034,0.642105263157895,1.28250276540232,1.39519852153474,"cuisine=Latin","style=none"
"{cuisine=Latin} => {price=$15-$30}",0.00142169181325778,0.747368421052632,1.31572936041523,1.70989727776054,"cuisine=Latin","price=$15-$30"
"{atmosphere=Near-perfect Service} => {price=$30-$50}",0.00110131055956588,0.514018691588785,2.06727203279965,1.54605557536545,"atmosphere=Near-perfect Service","price=$30-$50"
"{atmosphere=Fabulous Views} => {style=none}",0.0012014297013446,0.533333333333333,1.06524819858553,1.07000187365822,"atmosphere=Fabulous Views","style=none"
"{atmosphere=Fabulous Views} => {price=$15-$30}",0.00168200158188244,0.746666666666667,1.31449393378573,1.70516072020441,"atmosphere=Fabulous Views","price=$15-$30"
"{atmosphere=On the Beach} => {price=$15-$30}",0.00154183478339224,0.6784140969163,1.19433644864893,1.34326176917655,"atmosphere=On the Beach","price=$15-$30"
"{cuisine=Brazilian} => {style=none}",0.00142169181325778,0.617391304347826,1.23314057771042,1.30507804287102,"cuisine=Brazilian","style=none"
"{cuisine=Brazilian} => {price=$15-$30}",0.00174207306694967,0.756521739130435,1.33184362079998,1.77417913030792,"cuisine=Brazilian","price=$15-$30"
"{cuisine=Korean} => {style=none}",0.00255303811535728,0.894736842105263,1.78709401736388,4.74367497321813,"cuisine=Korean","style=none"
"{cuisine=Korean} => {price=$15-$30}",0.00231275217508836,0.810526315789474,1.42691775707003,2.27986303701405,"cuisine=Korean","price=$15-$30"
"{atmosphere=Buffet Dining} => {style=none}",0.0019423113505071,0.642384105960265,1.28305970938903,1.39628639562561,"atmosphere=Buffet Dining","style=none"
"{atmosphere=Buffet Dining} => {price=$15-$30}",0.00232276408926623,0.768211920529801,1.35242398580131,1.86365946905389,"atmosphere=Buffet Dining","price=$15-$30"
"{atmosphere=An Out Of The Way Find} => {style=none}",0.00259308577206876,0.759530791788856,1.51704151448123,2.07649957107495,"atmosphere=An Out Of The Way Find","style=none"
"{cuisine=Cuban} => {price=below $15}",0.00185220412290626,0.516759776536313,3.21866321029081,1.73712556092039,"cuisine=Cuban","price=below $15"
"{cuisine=Cuban} => {style=none}",0.00319380062274106,0.891061452513967,1.77975301334908,4.58363195792737,"cuisine=Cuban","style=none"
"{cuisine=Salvadoran} => {price=$15-$30}",0.00268319299966961,0.734246575342466,1.29262857480886,1.62546936008489,"cuisine=Salvadoran","price=$15-$30"
"{atmosphere=Authentic} => {style=none}",0.00289344319740491,0.670533642691415,1.33928391556505,1.51558481353374,"atmosphere=Authentic","style=none"
"{atmosphere=Authentic} => {price=$15-$30}",0.00267318108549173,0.619489559164733,1.09060080477541,1.13524887298812,"atmosphere=Authentic","price=$15-$30"
"{atmosphere=Near-perfect Food} => {price=$30-$50}",0.00285339554069343,0.64334085778781,2.58737782229532,2.10664475536014,"atmosphere=Near-perfect Food","price=$30-$50"
"{atmosphere=Cafe/Garden Dining} => {style=none}",0.00341406273465424,0.736501079913607,1.47104334118925,1.89501424728213,"atmosphere=Cafe/Garden Dining","style=none"
"{atmosphere=Cafe/Garden Dining} => {price=$15-$30}",0.00333396742123127,0.719222462203024,1.26617887983256,1.53849219032187,"atmosphere=Cafe/Garden Dining","price=$15-$30"
