"rules","support","confidence","lift","conviction","lhs","rhs"
"{cuisine=Portuguese,occasion=Weekend Dining} => {price=$15-$30}",0.000510607623071455,0.739130434782609,1.30122652606895,1.65590052162073,"cuisine=Portuguese,occasion=Weekend Dining","price=$15-$30"
"{cuisine=French,occasion=Walk} => {price=$30-$50}",0.00072085782080676,0.727272727272727,2.92493365301902,2.75496507510604,"cuisine=French,occasion=Walk","price=$30-$50"
"{cuisine=French,occasion=Walk} => {style=none}",0.000590702936494428,0.595959595959596,1.19033416129823,1.23585216407525,"cuisine=French,occasion=Walk","style=none"
"{cuisine=American,occasion=See the Game} => {price=$15-$30}",0.000931108018542065,0.744,1.30979931259364,1.68739862936895,"cuisine=American,occasion=See the Game","price=$15-$30"
"{cuisine=American,occasion=Happy Hour} => {price=$15-$30}",0.000550655279782942,0.53921568627451,0.949280020459757,0.937475595959191,"cuisine=American,occasion=Happy Hour","price=$15-$30"
"{cuisine=Mexican,occasion=Margaritas} => {style=none}",0.00213253771988666,0.872950819672131,1.74357991520531,3.93024344130806,"cuisine=Mexican,occasion=Margaritas","style=none"
"{cuisine=Mexican,occasion=Margaritas} => {price=$15-$30}",0.00191227560797349,0.782786885245902,1.37808296263763,1.98871071669626,"cuisine=Mexican,occasion=Margaritas","price=$15-$30"
"{cuisine=Korean,occasion=Weekend Dining} => {price=$15-$30}",0.0006007148506723,0.923076923076923,1.62506118187796,5.61566263853986,"cuisine=Korean,occasion=Weekend Dining","price=$15-$30"
"{cuisine=Italian,occasion=Great Place to Meet for a Drink} => {style=Cab}",0.000650774421561658,0.643564356435644,13.4984988419044,2.67179582592174,"cuisine=Italian,occasion=Great Place to Meet for a Drink","style=Cab"
"{cuisine=American,occasion=Great Place to Meet for a Drink} => {style=Cab}",0.000570679108138685,0.7125,14.9443957370853,3.31242874673035,"cuisine=American,occasion=Great Place to Meet for a Drink","style=Cab"
"{cuisine=Italian,occasion=Great Place to Meet for a Drink} => {price=$30-$50}",0.000760905477518247,0.752475247524752,3.02629274000482,3.03547061002593,"cuisine=Italian,occasion=Great Place to Meet for a Drink","price=$30-$50"
