"cuisine","atmosphere"
62,11
62,11
62,11
62,11
13,33
37,14
37,14
17,11
17,11
17,11
3,14
3,14
3,14
3,14
3,33
3,33
3,33
3,33
3,33
3,33
3,33
8,24
62,11
37,11
37,11
37,11
37,11
37,24
37,24
37,24
37,24
37,24
3,11
3,11
3,11
3,11
37,11
37,11
37,11
13,11
13,11
3,24
3,24
20,24
26,11
26,11
26,11
37,14
37,14
37,14
37,14
37,14
17,14
17,14
17,14
17,14
3,11
3,11
3,11
48,11
27,14
27,14
27,14
27,14
62,24
62,24
62,24
62,24
62,24
62,24
37,14
37,14
37,14
37,14
17,11
17,11
17,11
46,14
46,14
26,14
26,14
26,14
26,14
27,14
27,14
27,14
27,14
27,14
3,24
3,24
3,24
3,24
3,24
3,24
3,24
3,24
37,11
37,11
37,11
3,11
3,11
3,11
3,11
3,11
3,24
3,24
3,24
3,24
3,24
3,24
37,11
37,11
37,11
13,11
13,11
13,11
13,11
46,14
46,14
46,14
46,14
46,14
46,24
46,24
46,24
46,24
27,11
27,11
27,11
27,11
39,11
39,11
37,14
37,11
37,11
37,11
37,11
17,11
17,11
17,11
17,11
3,24
3,11
3,11
3,11
39,14
39,14
39,14
13,14
13,14
13,14
13,11
13,11
13,11
13,11
13,11
13,11
13,11
77,11
77,11
37,14
37,14
3,24
3,24
3,24
3,24
3,24
3,24
3,24
62,24
62,24
62,24
62,24
62,24
75,14
75,14
3,24
3,24
3,24
3,24
37,24
26,11
26,11
26,11
26,11
26,11
17,11
17,11
17,11
17,11
62,14
62,14
62,14
17,14
17,14
75,24
75,24
3,11
3,11
3,11
3,11
3,11
17,14
17,14
17,14
17,14
3,24
8,24
20,24
20,24
20,24
62,11
62,11
62,11
62,11
62,11
3,24
3,24
26,24
26,24
26,24
62,14
62,14
62,14
37,24
37,24
37,24
37,24
17,11
17,11
27,33
27,33
27,33
27,33
37,24
37,24
37,24
37,24
17,24
17,24
27,14
37,14
37,14
62,14
62,14
37,14
3,14
3,14
3,14
3,14
3,14
3,14
26,11
26,11
26,11
26,11
26,11
26,11
39,14
39,14
62,14
62,14
62,14
37,24
37,11
37,11
37,11
37,33
37,33
62,11
62,11
62,11
62,11
62,11
37,11
37,11
37,11
37,11
62,11
62,11
62,11
62,11
62,11
37,11
37,11
37,11
37,11
67,24
13,11
13,11
13,11
13,11
13,11
13,11
46,24
46,24
46,24
13,24
13,24
13,24
3,11
3,11
3,11
3,11
3,11
3,11
28,24
28,24
28,24
28,24
28,24
62,24
62,24
62,24
62,24
62,24
13,11
13,11
13,11
13,11
13,11
37,24
37,24
37,24
37,24
37,24
3,24
3,24
3,24
27,14
27,14
17,24
13,19
13,19
13,19
13,19
13,19
13,19
26,14
26,14
26,14
27,11
27,11
27,11
27,11
27,11
27,11
27,11
37,14
70,24
70,24
70,24
70,24
70,24
70,24
3,11
3,11
3,11
3,11
26,14
26,14
26,14
26,14
62,24
62,24
62,24
62,24
62,24
37,11
37,11
37,11
37,11
37,11
63,11
63,11
63,11
63,11
63,11
13,11
13,11
13,11
13,11
3,24
3,24
3,24
3,24
3,24
29,24
37,14
37,14
37,14
34,11
34,11
27,11
27,11
27,11
27,11
46,11
62,11
62,11
62,11
62,11
62,11
37,11
37,11
20,11
20,11
20,11
20,11
20,11
29,11
29,11
29,11
3,24
3,24
3,24
3,11
3,11
3,11
3,11
3,11
3,11
37,11
37,11
37,11
37,11
37,11
37,11
37,11
37,14
37,14
37,14
37,14
62,14
37,24
37,24
37,24
37,24
37,24
17,11
17,11
37,11
37,11
37,11
37,11
37,11
38,24
38,24
38,24
62,11
62,11
62,11
17,11
17,11
17,11
37,11
37,11
37,11
37,24
37,24
37,24
37,24
17,11
17,11
17,11
75,24
75,24
20,11
20,11
62,11
62,11
62,11
8,11
8,11
8,11
8,11
37,14
37,14
34,24
37,11
37,11
37,11
39,11
39,11
26,14
26,14
26,14
26,14
26,14
3,11
3,11
3,11
3,11
27,14
27,14
27,14
27,14
3,24
17,14
17,14
17,14
17,14
17,14
27,24
13,14
37,11
37,11
37,11
27,33
27,33
27,33
20,11
20,11
62,11
62,11
62,11
46,24
46,24
46,24
46,11
46,11
46,11
26,14
26,14
26,14
26,14
37,24
37,24
37,24
37,24
37,24
37,11
37,11
37,11
37,11
3,24
62,14
62,14
62,14
39,11
39,11
39,11
39,11
27,14
27,14
27,14
27,14
27,14
27,14
27,14
46,24
46,24
46,24
3,11
3,11
3,11
17,14
17,14
17,14
