"s1","s2"
"atmosphere=Good for Younger Kids","occasion=Takeout Available"
"atmosphere=Good for Younger Kids","occasion=Open on Mondays"
"atmosphere=Good for Younger Kids","occasion=Open on Sundays"
"atmosphere=Good for Younger Kids","occasion=Private Rooms Available"
"atmosphere=For the Young and Young at Heart","occasion=Takeout Available"
"atmosphere=For the Young and Young at Heart","occasion=Open on Mondays"
"atmosphere=For the Young and Young at Heart","occasion=Open on Sundays"
"atmosphere=For the Young and Young at Heart","occasion=Private Rooms Available"
"atmosphere=No Reservations","occasion=Takeout Available"
"atmosphere=No Reservations","occasion=Open on Mondays"
"atmosphere=No Reservations","occasion=Open on Sundays"
"atmosphere=No Reservations","occasion=Private Rooms Available"
"atmosphere=Excellent Food","occasion=Takeout Available"
"atmosphere=Excellent Food","occasion=Open on Mondays"
"atmosphere=Excellent Food","occasion=Open on Sundays"
"atmosphere=Excellent Food","occasion=Private Rooms Available"
"atmosphere=Good Service","occasion=Takeout Available"
"atmosphere=Good Service","occasion=Open on Mondays"
"atmosphere=Good Service","occasion=Open on Sundays"
"atmosphere=Good Service","occasion=Private Rooms Available"
"atmosphere=Good Decor","occasion=Takeout Available"
"atmosphere=Good Decor","occasion=Open on Mondays"
"atmosphere=Good Decor","occasion=Open on Sundays"
"atmosphere=Good Decor","occasion=Private Rooms Available"
"atmosphere=Relaxed Senior Scene","occasion=Open on Mondays"
"atmosphere=Relaxed Senior Scene","occasion=Open on Sundays"
"atmosphere=Very Busy - Reservations a Must","occasion=Open on Mondays"
"atmosphere=Very Busy - Reservations a Must","occasion=Open on Sundays"
"atmosphere=Extraordinary Food","occasion=Open on Mondays"
"atmosphere=Extraordinary Food","occasion=Open on Sundays"
"atmosphere=Extraordinary Service","occasion=Open on Mondays"
"atmosphere=Extraordinary Service","occasion=Open on Sundays"
"atmosphere=Excellent Decor","occasion=Open on Mondays"
"atmosphere=Excellent Decor","occasion=Open on Sundays"
"atmosphere=Wheelchair Access","occasion=Takeout Available"
"atmosphere=Wheelchair Access","occasion=Open on Mondays"
"atmosphere=Wheelchair Access","occasion=Open on Sundays"
"atmosphere=Excellent Service","occasion=Takeout Available"
"atmosphere=Excellent Service","occasion=Open on Mondays"
"atmosphere=Excellent Service","occasion=Open on Sundays"
"atmosphere=Fair Decor","occasion=Takeout Available"
"atmosphere=Fair Decor","occasion=Open on Mondays"
"atmosphere=Fair Decor","occasion=Open on Sundays"
"atmosphere=Good Out of Town Business","occasion=Long Drive"
"atmosphere=Good Out of Town Business","occasion=Open on Mondays"
"atmosphere=Good Out of Town Business","occasion=Open on Sundays"
"atmosphere=Good Out of Town Business","occasion=Fine for Dining Alone"
"atmosphere=Up and Coming","occasion=Long Drive"
"atmosphere=Up and Coming","occasion=Open on Mondays"
"atmosphere=Up and Coming","occasion=Open on Sundays"
"atmosphere=Up and Coming","occasion=Fine for Dining Alone"
"atmosphere=Extraordinary Food","occasion=Long Drive"
"atmosphere=Extraordinary Food","occasion=Fine for Dining Alone"
"atmosphere=Excellent Service","occasion=Long Drive"
"atmosphere=Excellent Service","occasion=Fine for Dining Alone"
"atmosphere=Excellent Decor","occasion=Long Drive"
"atmosphere=Excellent Decor","occasion=Fine for Dining Alone"
"atmosphere=Fabulous Wine Lists","occasion=Open on Mondays"
"atmosphere=Fabulous Wine Lists","occasion=Open on Sundays"
"atmosphere=Fabulous Wine Lists","occasion=Private Rooms Available"
"atmosphere=Fabulous Wine Lists","occasion=Game"
"atmosphere=Fabulous Wine Lists","occasion=Fine for Dining Alone"
"atmosphere=Fabulous Wine Lists","occasion=Dancing"
"atmosphere=Fabulous Wine Lists","occasion=Open for Breakfast"
"atmosphere=Wheelchair Access","occasion=Private Rooms Available"
"atmosphere=Wheelchair Access","occasion=Game"
"atmosphere=Wheelchair Access","occasion=Fine for Dining Alone"
"atmosphere=Wheelchair Access","occasion=Dancing"
"atmosphere=Wheelchair Access","occasion=Open for Breakfast"
"atmosphere=Good Out of Town Business","occasion=Private Rooms Available"
