"s1","s2"
"atmosphere=Good for Younger Kids","price=$15-$30"
"atmosphere=For the Young and Young at Heart","price=$15-$30"
"atmosphere=No Reservations","price=$15-$30"
"atmosphere=Excellent Food","price=$15-$30"
"atmosphere=Good Service","price=$15-$30"
"atmosphere=Good Decor","price=$15-$30"
"atmosphere=Wheelchair Access","price=$30-$50"
"atmosphere=Good Out of Town Business","price=$30-$50"
"atmosphere=Very Busy - Reservations a Must","price=$30-$50"
"atmosphere=Hip Place To Be","price=$30-$50"
"atmosphere=Near-perfect Food","price=$30-$50"
"atmosphere=Extraordinary Service","price=$30-$50"
"atmosphere=Excellent Decor","price=$30-$50"
"atmosphere=Relaxed Senior Scene","price=$15-$30"
"atmosphere=Very Busy - Reservations a Must","price=$15-$30"
"atmosphere=Extraordinary Food","price=$15-$30"
"atmosphere=Extraordinary Service","price=$15-$30"
"atmosphere=Excellent Decor","price=$15-$30"
"atmosphere=Good for Younger Kids","price=below $15"
"atmosphere=Wheelchair Access","price=below $15"
"atmosphere=For the Young and Young at Heart","price=below $15"
"atmosphere=No Reservations","price=below $15"
"atmosphere=Excellent Food","price=below $15"
"atmosphere=Excellent Service","price=below $15"
"atmosphere=Fair Decor","price=below $15"
"atmosphere=Up and Coming","price=$30-$50"
"atmosphere=Extraordinary Food","price=$30-$50"
"atmosphere=Excellent Service","price=$30-$50"
"atmosphere=Fabulous Wine Lists","price=$30-$50"
"atmosphere=Relaxed Senior Scene","price=$30-$50"
"atmosphere=Romantic","price=$30-$50"
"atmosphere=Great for People Watching","price=$30-$50"
"atmosphere=Need To Dress","price=$30-$50"
"atmosphere=Classic Hotel Dining","price=$30-$50"
"atmosphere=Near-perfect Service","price=$30-$50"
"atmosphere=Near-perfect Decor","price=$30-$50"
"atmosphere=Up and Coming","price=$15-$30"
"atmosphere=Credit cards are not accepted","price=$15-$30"
"atmosphere=Good Food","price=$15-$30"
"atmosphere=Credit cards are not accepted","price=below $15"
"atmosphere=An Historic Spot","price=$15-$30"
"atmosphere=Excellent Service","price=$15-$30"
"atmosphere=Relaxed Senior Scene","price=below $15"
"atmosphere=An Historic Spot","price=below $15"
"atmosphere=Good Food","price=below $15"
"atmosphere=Good Decor","price=below $15"
"atmosphere=Good Service","price=below $15"
"atmosphere=Good Out of Town Business","price=$15-$30"
"atmosphere=Need To Dress","price=$15-$30"
"atmosphere=Place for Singles","price=below $15"
"atmosphere=Focus on Dessert","price=below $15"
"atmosphere=Wheelchair Access","price=$15-$30"
"atmosphere=Romantic","price=$15-$30"
"atmosphere=Extraordinary Decor","price=$15-$30"
"atmosphere=Quirky","price=$15-$30"
"atmosphere=Place for Singles","price=$15-$30"
"atmosphere=Authentic","price=below $15"
"atmosphere=Quirky","price=below $15"
"atmosphere=Up and Coming","price=below $15"
"atmosphere=Extraordinary Food","price=below $15"
"atmosphere=Excellent Decor","price=below $15"
"atmosphere=Poor Decor","price=below $15"
"atmosphere=Fair Decor","price=$15-$30"
"atmosphere=Health Conscious Menus","price=$15-$30"
"atmosphere=Classic Hotel Dining","price=$15-$30"
"atmosphere=Creative","price=$15-$30"
"atmosphere=Hip Place To Be","price=below $15"
"atmosphere=Extraordinary Decor","price=$30-$50"
"atmosphere=Near-perfect Food","price=$15-$30"
"atmosphere=Great for People Watching","price=$15-$30"
"atmosphere=Hip Place To Be","price=$15-$30"
"atmosphere=Fair Food","price=below $15"
