"s1","s2"
"atmosphere=Good for Younger Kids","style=Soul Food"
"atmosphere=Wheelchair Access","style=Soul Food"
"atmosphere=For the Young and Young at Heart","style=Soul Food"
"atmosphere=No Reservations","style=Soul Food"
"atmosphere=Credit cards are not accepted","style=Soul Food"
"atmosphere=Excellent Food","style=Soul Food"
"atmosphere=Excellent Service","style=Soul Food"
"atmosphere=Fair Decor","style=Soul Food"
"atmosphere=Wheelchair Access","style=Traditional"
"atmosphere=For the Young and Young at Heart","style=Traditional"
"atmosphere=Relaxed Senior Scene","style=Traditional"
"atmosphere=No Reservations","style=Traditional"
"atmosphere=An Historic Spot","style=Traditional"
"atmosphere=Good Food","style=Traditional"
"atmosphere=Excellent Service","style=Traditional"
"atmosphere=Good Decor","style=Traditional"
"atmosphere=Place for Singles","style=Coffee Shops"
"atmosphere=Focus on Dessert","style=Coffee Shops"
"atmosphere=Excellent Food","style=Coffee Shops"
"atmosphere=Good Service","style=Coffee Shops"
"atmosphere=Good Decor","style=Coffee Shops"
"atmosphere=Up and Coming","style=Traditional"
"atmosphere=Extraordinary Food","style=Traditional"
"atmosphere=Wheelchair Access","style=Po' Boys"
"atmosphere=For the Young and Young at Heart","style=Po' Boys"
"atmosphere=An Historic Spot","style=Po' Boys"
"atmosphere=Focus on Dessert","style=Po' Boys"
"atmosphere=Credit cards are not accepted","style=Po' Boys"
"atmosphere=Extraordinary Food","style=Po' Boys"
"atmosphere=Good Service","style=Po' Boys"
"atmosphere=Excellent Decor","style=Po' Boys"
"atmosphere=Good for Younger Kids","style=Traditional"
"atmosphere=Excellent Food","style=Traditional"
"atmosphere=Quirky","style=Po' Boys"
"atmosphere=No Reservations","style=Po' Boys"
"atmosphere=Good Food","style=Po' Boys"
"atmosphere=Poor Decor","style=Po' Boys"
"atmosphere=Excellent Decor","style=Traditional"
"atmosphere=No Reservations","style=Coffee Shops"
"atmosphere=Credit cards are not accepted","style=Coffee Shops"
"atmosphere=For the Young and Young at Heart","style=Cab"
