"s1","s2"
"cuisine=Seafood","atmosphere=Good for Younger Kids"
"cuisine=Seafood","atmosphere=For the Young and Young at Heart"
"cuisine=Seafood","atmosphere=No Reservations"
"cuisine=Seafood","atmosphere=Excellent Food"
"cuisine=Seafood","atmosphere=Good Service"
"cuisine=Seafood","atmosphere=Good Decor"
"cuisine=Cajun","atmosphere=Wheelchair Access"
"cuisine=Cajun","atmosphere=Good Out of Town Business"
"cuisine=Cajun","atmosphere=Very Busy - Reservations a Must"
"cuisine=Cajun","atmosphere=Hip Place To Be"
"cuisine=Cajun","atmosphere=Near-perfect Food"
"cuisine=Cajun","atmosphere=Extraordinary Service"
"cuisine=Cajun","atmosphere=Excellent Decor"
"cuisine=Italian","atmosphere=Relaxed Senior Scene"
"cuisine=Italian","atmosphere=Very Busy - Reservations a Must"
"cuisine=Italian","atmosphere=Extraordinary Food"
"cuisine=Italian","atmosphere=Extraordinary Service"
"cuisine=Italian","atmosphere=Excellent Decor"
"cuisine=Chinese","atmosphere=Good for Younger Kids"
"cuisine=Chinese","atmosphere=Wheelchair Access"
"cuisine=Chinese","atmosphere=For the Young and Young at Heart"
"cuisine=Chinese","atmosphere=No Reservations"
"cuisine=Chinese","atmosphere=Excellent Food"
"cuisine=Chinese","atmosphere=Excellent Service"
"cuisine=Chinese","atmosphere=Fair Decor"
"cuisine=American","atmosphere=Good Out of Town Business"
"cuisine=American","atmosphere=Up and Coming"
"cuisine=American","atmosphere=Extraordinary Food"
"cuisine=American","atmosphere=Excellent Service"
"cuisine=American","atmosphere=Excellent Decor"
"cuisine=American","atmosphere=Fabulous Wine Lists"
"cuisine=American","atmosphere=Wheelchair Access"
"cuisine=American","atmosphere=Relaxed Senior Scene"
"cuisine=American","atmosphere=Romantic"
"cuisine=American","atmosphere=Very Busy - Reservations a Must"
"cuisine=American","atmosphere=Great for People Watching"
"cuisine=American","atmosphere=Need To Dress"
"cuisine=American","atmosphere=Hip Place To Be"
"cuisine=American","atmosphere=Classic Hotel Dining"
"cuisine=American","atmosphere=Near-perfect Food"
"cuisine=American","atmosphere=Near-perfect Service"
"cuisine=American","atmosphere=Near-perfect Decor"
"cuisine=Bar-B-Q","atmosphere=Up and Coming"
"cuisine=Bar-B-Q","atmosphere=No Reservations"
"cuisine=Bar-B-Q","atmosphere=Credit cards are not accepted"
"cuisine=Bar-B-Q","atmosphere=Good Food"
"cuisine=Bar-B-Q","atmosphere=Good Service"
"cuisine=Bar-B-Q","atmosphere=Good Decor"
"cuisine=Seafood","atmosphere=Wheelchair Access"
"cuisine=Seafood","atmosphere=Credit cards are not accepted"
"cuisine=Seafood","atmosphere=Excellent Service"
"cuisine=Seafood","atmosphere=Fair Decor"
"cuisine=Italian","atmosphere=No Reservations"
"cuisine=Italian","atmosphere=An Historic Spot"
"cuisine=Italian","atmosphere=Excellent Food"
"cuisine=Italian","atmosphere=Excellent Service"
"cuisine=Italian","atmosphere=Good Decor"
"cuisine=Italian","atmosphere=Wheelchair Access"
"cuisine=Italian","atmosphere=For the Young and Young at Heart"
"cuisine=Italian","atmosphere=Good Food"
"cuisine=Italian","atmosphere=Good Service"
"cuisine=American","atmosphere=No Reservations"
"cuisine=American","atmosphere=Credit cards are not accepted"
"cuisine=American","atmosphere=Excellent Food"
"cuisine=American","atmosphere=Good Service"
"cuisine=American","atmosphere=Good Decor"
"cuisine=Cajun","atmosphere=Up and Coming"
"cuisine=Cajun","atmosphere=Need To Dress"
"cuisine=Cajun","atmosphere=Excellent Food"
"cuisine=Cajun","atmosphere=Excellent Service"
"cuisine=American","atmosphere=Good for Younger Kids"
"cuisine=American","atmosphere=For the Young and Young at Heart"
"cuisine=American","atmosphere=Place for Singles"
"cuisine=American","atmosphere=Good Food"
"cuisine=Cuban","atmosphere=Good Food"
"cuisine=Cuban","atmosphere=Good Service"
"cuisine=Cuban","atmosphere=Good Decor"
"cuisine=Fountain and Ice Cream","atmosphere=Place for Singles"
"cuisine=Fountain and Ice Cream","atmosphere=Focus on Dessert"
"cuisine=Fountain and Ice Cream","atmosphere=Excellent Food"
"cuisine=Fountain and Ice Cream","atmosphere=Good Service"
"cuisine=Fountain and Ice Cream","atmosphere=Good Decor"
"cuisine=Italian","atmosphere=Good Out of Town Business"
"cuisine=Italian","atmosphere=Romantic"
"cuisine=Italian","atmosphere=Extraordinary Decor"
"cuisine=Chinese","atmosphere=Extraordinary Food"
"cuisine=Chinese","atmosphere=Extraordinary Decor"
"cuisine=Nicaraguan","atmosphere=Quirky"
"cuisine=Nicaraguan","atmosphere=Excellent Food"
"cuisine=Nicaraguan","atmosphere=Excellent Service"
"cuisine=Nicaraguan","atmosphere=Good Decor"
"cuisine=French","atmosphere=Wheelchair Access"
"cuisine=French","atmosphere=For the Young and Young at Heart"
"cuisine=French","atmosphere=Place for Singles"
"cuisine=French","atmosphere=Up and Coming"
"cuisine=French","atmosphere=Extraordinary Food"
"cuisine=French","atmosphere=Excellent Service"
"cuisine=French","atmosphere=Good Decor"
"cuisine=Seafood","atmosphere=Place for Singles"
"cuisine=Seafood","atmosphere=Good Food"
"cuisine=Seafood","atmosphere=Excellent Decor"
"cuisine=Italian","atmosphere=Up and Coming"
"cuisine=Chinese","atmosphere=Authentic"
"cuisine=Chinese","atmosphere=Good Service"
"cuisine=Mexican","atmosphere=For the Young and Young at Heart"
"cuisine=Mexican","atmosphere=Quirky"
"cuisine=Mexican","atmosphere=Up and Coming"
"cuisine=Mexican","atmosphere=Credit cards are not accepted"
"cuisine=Mexican","atmosphere=Extraordinary Food"
"cuisine=Mexican","atmosphere=Good Service"
"cuisine=Mexican","atmosphere=Fair Decor"
"cuisine=Fountain and Ice Cream","atmosphere=Wheelchair Access"
"cuisine=Fountain and Ice Cream","atmosphere=For the Young and Young at Heart"
"cuisine=Fountain and Ice Cream","atmosphere=An Historic Spot"
"cuisine=Fountain and Ice Cream","atmosphere=Credit cards are not accepted"
"cuisine=Fountain and Ice Cream","atmosphere=Extraordinary Food"
"cuisine=Fountain and Ice Cream","atmosphere=Excellent Decor"
"cuisine=French","atmosphere=Fabulous Wine Lists"
"cuisine=French","atmosphere=Good Out of Town Business"
"cuisine=French","atmosphere=Romantic"
"cuisine=French","atmosphere=Very Busy - Reservations a Must"
"cuisine=French","atmosphere=Need To Dress"
"cuisine=French","atmosphere=Classic Hotel Dining"
"cuisine=French","atmosphere=Extraordinary Service"
"cuisine=French","atmosphere=Near-perfect Decor"
"cuisine=American","atmosphere=An Historic Spot"
"cuisine=American","atmosphere=Quirky"
"cuisine=American","atmosphere=Poor Decor"
"cuisine=Italian","atmosphere=Place for Singles"
"cuisine=Cajun","atmosphere=Good for Younger Kids"
"cuisine=Cajun","atmosphere=For the Young and Young at Heart"
"cuisine=Cajun","atmosphere=Good Decor"
"cuisine=Mexican","atmosphere=Wheelchair Access"
"cuisine=Mexican","atmosphere=No Reservations"
"cuisine=Mexican","atmosphere=Excellent Service"
"cuisine=Mexican","atmosphere=Excellent Decor"
"cuisine=Mexican","atmosphere=Good Food"
"cuisine=Mexican","atmosphere=Good Decor"
"cuisine=French","atmosphere=Excellent Food"
"cuisine=French","atmosphere=Excellent Decor"
"cuisine=Japanese","atmosphere=Excellent Food"
"cuisine=Japanese","atmosphere=Excellent Service"
"cuisine=Japanese","atmosphere=Excellent Decor"
"cuisine=Italian","atmosphere=Fair Decor"
"cuisine=Chinese","atmosphere=Excellent Decor"
