"s1","s2"
"cuisine=Seafood","occasion=Takeout Available"
"cuisine=Seafood","occasion=Open on Mondays"
"cuisine=Seafood","occasion=Open on Sundays"
"cuisine=Seafood","occasion=Private Rooms Available"
"cuisine=Italian","occasion=Open on Mondays"
"cuisine=Italian","occasion=Open on Sundays"
"cuisine=Chinese","occasion=Takeout Available"
"cuisine=Chinese","occasion=Open on Mondays"
"cuisine=Chinese","occasion=Open on Sundays"
"cuisine=American","occasion=Long Drive"
"cuisine=American","occasion=Open on Mondays"
"cuisine=American","occasion=Open on Sundays"
"cuisine=American","occasion=Fine for Dining Alone"
"cuisine=American","occasion=Private Rooms Available"
"cuisine=American","occasion=Game"
"cuisine=American","occasion=Dancing"
"cuisine=American","occasion=Open for Breakfast"
"cuisine=Bar-B-Q","occasion=Takeout Available"
"cuisine=Italian","occasion=Takeout Available"
"cuisine=Italian","occasion=Private Parties"
"cuisine=Italian","occasion=Fine for Dining Alone"
"cuisine=American","occasion=Takeout Available"
"cuisine=Cajun","occasion=Open on Mondays"
"cuisine=Cajun","occasion=Open on Sundays"
"cuisine=Fountain and Ice Cream","occasion=Open on Mondays"
"cuisine=Fountain and Ice Cream","occasion=Open on Sundays"
"cuisine=Fountain and Ice Cream","occasion=Dining Outdoors"
"cuisine=Italian","occasion=Private Rooms Available"
"cuisine=Italian","occasion=Game"
"cuisine=Italian","occasion=Special Brunch Menu"
"cuisine=Chinese","occasion=Private Parties"
"cuisine=French","occasion=Takeout Available"
"cuisine=French","occasion=Open on Mondays"
"cuisine=French","occasion=Open on Sundays"
"cuisine=French","occasion=Private Parties"
"cuisine=Seafood","occasion=Dining Outdoors"
"cuisine=Seafood","occasion=Entertainment"
"cuisine=Seafood","occasion=Dancing"
"cuisine=Mexican","occasion=Open on Mondays"
"cuisine=Mexican","occasion=Open on Sundays"
"cuisine=Fountain and Ice Cream","occasion=Takeout Available"
"cuisine=Fountain and Ice Cream","occasion=Other Quick Food"
"cuisine=French","occasion=Game"
"cuisine=French","occasion=Entertainment"
"cuisine=American","occasion=Dining Outdoors"
"cuisine=American","occasion=Special Brunch Menu"
"cuisine=American","occasion=Private Parties"
"cuisine=American","occasion=Late Night Menu"
"cuisine=American","occasion=Other Quick Food"
"cuisine=Cajun","occasion=Takeout Available"
"cuisine=Cajun","occasion=Private Parties"
"cuisine=Mexican","occasion=Private Parties"
"cuisine=Mexican","occasion=Entertainment"
"cuisine=Mexican","occasion=Dancing"
"cuisine=Mexican","occasion=Takeout Available"
"cuisine=Mexican","occasion=Margaritas"
"cuisine=French","occasion=Dining Outdoors"
"cuisine=French","occasion=Special Brunch Menu"
"cuisine=Japanese","occasion=Open on Mondays"
"cuisine=Japanese","occasion=Open on Sundays"
"cuisine=Japanese","occasion=Takeout Available"
"cuisine=Cajun","occasion=Special Brunch Menu"
"cuisine=Cajun","occasion=Private Rooms Available"
"cuisine=Cajun","occasion=Dining Outdoors"
"cuisine=Cajun","occasion=Game"
"cuisine=Cajun","occasion=Fine for Dining Alone"
"cuisine=Yugoslavian","occasion=Open on Mondays"
"cuisine=Yugoslavian","occasion=Open on Sundays"
"cuisine=American","occasion=Weekend Jazz Brunch"
"cuisine=Seafood","occasion=Fine for Dining Alone"
"cuisine=Vietnamese","occasion=Open on Mondays"
"cuisine=Vietnamese","occasion=Open on Sundays"
"cuisine=Fountain and Ice Cream","occasion=Open for Breakfast"
"cuisine=Chinese","occasion=Private Rooms Available"
"cuisine=Cuban","occasion=Open on Mondays"
"cuisine=Cuban","occasion=Open on Sundays"
"cuisine=Cuban","occasion=Special Brunch Menu"
"cuisine=Fountain and Ice Cream","occasion=Entertainment"
"cuisine=French","occasion=Private Rooms Available"
"cuisine=Italian","occasion=Dining Outdoors"
"cuisine=American","occasion=Entertainment"
"cuisine=Fountain and Ice Cream","occasion=Late Night Menu"
"cuisine=Fountain and Ice Cream","occasion=Fine for Dining Alone"
"cuisine=Seafood","occasion=Special Brunch Menu"
"cuisine=Italian","occasion=Late Night Menu"
"cuisine=Seafood","occasion=Private Parties"
"cuisine=Cajun","occasion=Late Night Menu"
"cuisine=German","occasion=Open on Mondays"
"cuisine=German","occasion=Open on Sundays"
"cuisine=German","occasion=Private Rooms Available"
"cuisine=German","occasion=Game"
"cuisine=German","occasion=Entertainment"
"cuisine=Cajun","occasion=Entertainment"
"cuisine=Cajun","occasion=Dancing"
"cuisine=Turkish","occasion=Takeout Available"
"cuisine=Turkish","occasion=Open on Mondays"
"cuisine=Turkish","occasion=Open on Sundays"
"cuisine=Turkish","occasion=Private Parties"
"cuisine=Turkish","occasion=Late Night Menu"
"cuisine=Turkish","occasion=Dancing"
"cuisine=Spanish","occasion=Takeout Available"
"cuisine=Spanish","occasion=Open on Mondays"
"cuisine=Spanish","occasion=Open on Sundays"
"cuisine=Spanish","occasion=Private Parties"
"cuisine=Spanish","occasion=Entertainment"
"cuisine=Indian","occasion=Open on Mondays"
"cuisine=Indian","occasion=Open on Sundays"
"cuisine=Cuban","occasion=Takeout Available"
"cuisine=Cuban","occasion=Dining Outdoors"
"cuisine=Greek","occasion=Takeout Available"
"cuisine=Greek","occasion=Open on Mondays"
"cuisine=Greek","occasion=Open on Sundays"
"cuisine=Jamaican","occasion=Takeout Available"
"cuisine=Jamaican","occasion=Open on Mondays"
"cuisine=Jamaican","occasion=Open on Sundays"
"cuisine=Bar-B-Q","occasion=Open on Mondays"
"cuisine=Bar-B-Q","occasion=Open on Sundays"
"cuisine=Bar-B-Q","occasion=Private Parties"
"cuisine=Chinese","occasion=Entertainment"
"cuisine=Chinese","occasion=Dancing"
"cuisine=Italian","occasion=Open for Breakfast"
"cuisine=French","occasion=Fine for Dining Alone"
"cuisine=Japanese","occasion=Private Parties"
"cuisine=French","occasion=Weekend Jazz Brunch"
"cuisine=Chinese","occasion=Game"
"cuisine=Greek","occasion=Entertainment"
"cuisine=Thai","occasion=Short Drive"
"cuisine=Thai","occasion=Takeout Available"
"cuisine=Thai","occasion=Open on Mondays"
"cuisine=Thai","occasion=Open on Sundays"
"cuisine=Salvadoran","occasion=Open on Mondays"
"cuisine=Salvadoran","occasion=Open on Sundays"
"cuisine=American","occasion=Weekend Dining"
"cuisine=American","occasion=Delivery Available"
"cuisine=French","occasion=Prix Fixe Menus"
"cuisine=Chinese","occasion=Dining Outdoors"
"cuisine=Coffee and Dessert","occasion=Dancing"
"cuisine=Coffee and Dessert","occasion=Entertainment"
"cuisine=Coffee and Dessert","occasion=Menus in Braille"
"cuisine=American","occasion=Menus in Braille"
"cuisine=Japanese","occasion=Fine for Dining Alone"
"cuisine=French","occasion=Pre-theater Dining"
"cuisine=French","occasion=After Hours Dining"
"cuisine=French","occasion=Late Night Menu"
"cuisine=French","occasion=Open for Breakfast"
"cuisine=American","occasion=Prix Fixe Menus"
"cuisine=Spanish","occasion=Prix Fixe Menus"
"cuisine=Spanish","occasion=Dancing"
"cuisine=Italian","occasion=Weekend Dining"
"cuisine=Seafood","occasion=Weekend Dining"
"cuisine=Seafood","occasion=Prix Fixe Menus"
"cuisine=Italian","occasion=After Hours Dining"
"cuisine=Irish","occasion=Fine for Dining Alone"
"cuisine=Spanish","occasion=After Hours Dining"
"cuisine=Spanish","occasion=Late Night Menu"
"cuisine=Filipino","occasion=Dancing"
"cuisine=Filipino","occasion=Entertainment"
"cuisine=Chinese","occasion=Fine for Dining Alone"
"cuisine=Coffee and Dessert","occasion=Fine for Dining Alone"
"cuisine=Coffee and Dessert","occasion=Delivery Available"
"cuisine=Coffee and Dessert","occasion=Takeout Available"
"cuisine=Italian","occasion=Menus in Braille"
"cuisine=French","occasion=Weekend Dining"
"cuisine=Caribbean","occasion=Prix Fixe Menus"
"cuisine=Caribbean","occasion=Private Parties"
"cuisine=Caribbean","occasion=Private Rooms Available"
"cuisine=Caribbean","occasion=After Hours Dining"
"cuisine=Caribbean","occasion=Late Night Menu"
"cuisine=Caribbean","occasion=Dancing"
"cuisine=Caribbean","occasion=Entertainment"
"cuisine=Cajun","occasion=Weekend Dining"
"cuisine=Creole","occasion=Weekend Dining"
"cuisine=Italian","occasion=Prix Fixe Menus"
"cuisine=Italian","occasion=Pre-theater Dining"
"cuisine=Seafood","occasion=After Hours Dining"
"cuisine=Seafood","occasion=Late Night Menu"
"cuisine=American","occasion=After Hours Dining"
"cuisine=Mexican","occasion=Private Rooms Available"
"cuisine=Spanish","occasion=Weekend Dining"
"cuisine=Venezuelan","occasion=Weekend Dining"
"cuisine=Venezuelan","occasion=After Hours Dining"
"cuisine=Venezuelan","occasion=Late Night Menu"
"cuisine=Venezuelan","occasion=Dancing"
"cuisine=Venezuelan","occasion=Entertainment"
"cuisine=Chinese","occasion=Prix Fixe Menus"
"cuisine=Chinese","occasion=Pre-theater Dining"
"cuisine=Chinese","occasion=Delivery Available"
"cuisine=Czech","occasion=Prix Fixe Menus"
"cuisine=Hungarian","occasion=Prix Fixe Menus"
"cuisine=Russian","occasion=Prix Fixe Menus"
"cuisine=Czech","occasion=Delivery Available"
"cuisine=Hungarian","occasion=Delivery Available"
"cuisine=Russian","occasion=Delivery Available"
"cuisine=Czech","occasion=Takeout Available"
"cuisine=Hungarian","occasion=Takeout Available"
"cuisine=Russian","occasion=Takeout Available"
"cuisine=Lebanese","occasion=Prix Fixe Menus"
"cuisine=Lebanese","occasion=Private Parties"
"cuisine=Lebanese","occasion=Private Rooms Available"
"cuisine=Lebanese","occasion=Delivery Available"
"cuisine=Lebanese","occasion=Takeout Available"
"cuisine=Lebanese","occasion=Dancing"
"cuisine=Lebanese","occasion=Entertainment"
"cuisine=Bar-B-Q","occasion=After Hours Dining"
"cuisine=Bar-B-Q","occasion=Late Night Menu"
"cuisine=Ukrainian","occasion=Open for Breakfast"
"cuisine=Italian","occasion=Delivery Available"
"cuisine=Dim Sum","occasion=Private Parties"
"cuisine=Indonesian","occasion=Private Parties"
"cuisine=Korean","occasion=Private Parties"
"cuisine=Malaysian","occasion=Private Parties"
"cuisine=Thai","occasion=Private Parties"
"cuisine=Dim Sum","occasion=Private Rooms Available"
"cuisine=Indonesian","occasion=Private Rooms Available"
"cuisine=Japanese","occasion=Private Rooms Available"
"cuisine=Korean","occasion=Private Rooms Available"
"cuisine=Malaysian","occasion=Private Rooms Available"
"cuisine=Thai","occasion=Private Rooms Available"
"cuisine=Dim Sum","occasion=Fine for Dining Alone"
"cuisine=Indonesian","occasion=Fine for Dining Alone"
"cuisine=Korean","occasion=Fine for Dining Alone"
"cuisine=Malaysian","occasion=Fine for Dining Alone"
"cuisine=Thai","occasion=Fine for Dining Alone"
"cuisine=American","occasion=Pre-theater Dining"
"cuisine=Japanese","occasion=After Hours Dining"
"cuisine=Japanese","occasion=Late Night Menu"
"cuisine=Jewish","occasion=Weekend Dining"
"cuisine=Mediterranean","occasion=Weekend Dining"
"cuisine=Mediterranean","occasion=Prix Fixe Menus"
"cuisine=Japanese","occasion=Weekend Dining"
"cuisine=Japanese","occasion=Delivery Available"
"cuisine=Mediterranean","occasion=Pre-theater Dining"
"cuisine=Spanish","occasion=Pre-theater Dining"
"cuisine=Mediterranean","occasion=Dining Outdoors"
"cuisine=Spanish","occasion=Dining Outdoors"
"cuisine=Mediterranean","occasion=Delivery Available"
"cuisine=Spanish","occasion=Delivery Available"
"cuisine=Mediterranean","occasion=Takeout Available"
"cuisine=Spanish","occasion=Private Rooms Available"
"cuisine=Jewish","occasion=Delivery Available"
"cuisine=Jewish","occasion=Takeout Available"
"cuisine=Russian","occasion=Weekend Dining"
"cuisine=Russian","occasion=Pre-theater Dining"
"cuisine=Russian","occasion=Private Parties"
"cuisine=Russian","occasion=Private Rooms Available"
"cuisine=Thai","occasion=Delivery Available"
"cuisine=Coffee and Dessert","occasion=Dining Outdoors"
"cuisine=Seafood","occasion=Delivery Available"
"cuisine=Brazilian","occasion=Private Parties"
"cuisine=Brazilian","occasion=Private Rooms Available"
"cuisine=Brazilian","occasion=After Hours Dining"
"cuisine=Brazilian","occasion=Late Night Menu"
"cuisine=Brazilian","occasion=Dancing"
"cuisine=Brazilian","occasion=Entertainment"
"cuisine=Indian","occasion=Prix Fixe Menus"
"cuisine=Indian","occasion=Private Parties"
"cuisine=Indian","occasion=Private Rooms Available"
"cuisine=Indian","occasion=After Hours Dining"
"cuisine=Indian","occasion=Late Night Menu"
"cuisine=Hamburgers & Beer","occasion=Weekend Dining"
"cuisine=Hamburgers & Beer","occasion=Dining Outdoors"
"cuisine=Coffee and Dessert","occasion=Weekend Dining"
"cuisine=Coffee and Dessert","occasion=Special Brunch Menu"
"cuisine=Coffee and Dessert","occasion=Open for Breakfast"
"cuisine=Afghanistan","occasion=Weekend Dining"
"cuisine=Afghanistan","occasion=Delivery Available"
"cuisine=Afghanistan","occasion=Takeout Available"
"cuisine=Indian","occasion=Weekend Dining"
"cuisine=Indian","occasion=Delivery Available"
"cuisine=Indian","occasion=Takeout Available"
"cuisine=Jewish","occasion=Open for Breakfast"
"cuisine=Lebanese","occasion=After Hours Dining"
"cuisine=Lebanese","occasion=Late Night Menu"
"cuisine=Ethiopian","occasion=Weekend Dining"
"cuisine=Mediterranean","occasion=Game"
"cuisine=Hamburgers & Beer","occasion=After Hours Dining"
"cuisine=Hamburgers & Beer","occasion=Late Night Menu"
"cuisine=Hamburgers & Beer","occasion=Dancing"
"cuisine=Hamburgers & Beer","occasion=Entertainment"
"cuisine=Dim Sum","occasion=Prix Fixe Menus"
"cuisine=Mexican","occasion=After Hours Dining"
"cuisine=Mexican","occasion=Late Night Menu"
"cuisine=French","occasion=Menus in Braille"
"cuisine=Mediterranean","occasion=After Hours Dining"
"cuisine=Mediterranean","occasion=Late Night Menu"
"cuisine=Russian","occasion=Open for Breakfast"
"cuisine=Japanese","occasion=Prix Fixe Menus"
"cuisine=Coffee and Dessert","occasion=Private Parties"
"cuisine=Coffee and Dessert","occasion=Private Rooms Available"
"cuisine=Coffee and Dessert","occasion=After Hours Dining"
"cuisine=Coffee and Dessert","occasion=Late Night Menu"
"cuisine=French","occasion=Short Drive"
"cuisine=Mexican","occasion=Delivery Available"
"cuisine=Russian","occasion=After Hours Dining"
"cuisine=Russian","occasion=Late Night Menu"
"cuisine=Russian","occasion=Dancing"
"cuisine=Russian","occasion=Entertainment"
"cuisine=Seafood","occasion=Pre-theater Dining"
"cuisine=Vegetarian","occasion=Weekend Dining"
"cuisine=Scandinavian","occasion=Prix Fixe Menus"
"cuisine=Scandinavian","occasion=Private Parties"
"cuisine=Scandinavian","occasion=Private Rooms Available"
"cuisine=Scandinavian","occasion=Game"
"cuisine=Scandinavian","occasion=Delivery Available"
"cuisine=Scandinavian","occasion=Takeout Available"
"cuisine=Italian","occasion=Dancing"
"cuisine=Italian","occasion=Entertainment"
"cuisine=Cajun","occasion=After Hours Dining"
"cuisine=Creole","occasion=After Hours Dining"
"cuisine=Creole","occasion=Late Night Menu"
"cuisine=Russian","occasion=Special Brunch Menu"
"cuisine=Swiss","occasion=Dancing"
"cuisine=Swiss","occasion=Entertainment"
"cuisine=Hamburgers & Beer","occasion=Fine for Dining Alone"
"cuisine=Hamburgers & Beer","occasion=Delivery Available"
"cuisine=Hamburgers & Beer","occasion=Takeout Available"
"cuisine=French","occasion=Dancing"
"cuisine=French","occasion=Delivery Available"
"cuisine=Mexican","occasion=Weekend Dining"
"cuisine=Greek","occasion=Weekend Dining"
"cuisine=Greek","occasion=Prix Fixe Menus"
"cuisine=Greek","occasion=Delivery Available"
"cuisine=Greek","occasion=Dancing"
"cuisine=Bar-B-Q","occasion=Delivery Available"
"cuisine=Hamburgers & Beer","occasion=Private Parties"
"cuisine=Hamburgers & Beer","occasion=Private Rooms Available"
"cuisine=Vegetarian","occasion=Special Brunch Menu"
"cuisine=Vegetarian","occasion=Dining Outdoors"
"cuisine=Vegetarian","occasion=After Hours Dining"
"cuisine=Vegetarian","occasion=Late Night Menu"
"cuisine=Vegetarian","occasion=Dancing"
"cuisine=Vegetarian","occasion=Entertainment"
"cuisine=Argentinean","occasion=Prix Fixe Menus"
"cuisine=Chinese","occasion=Special Brunch Menu"
"cuisine=Chinese","occasion=Open for Breakfast"
"cuisine=Greek","occasion=Dining Outdoors"
"cuisine=Greek","occasion=After Hours Dining"
"cuisine=Greek","occasion=Late Night Menu"
"cuisine=Indian","occasion=Pre-theater Dining"
"cuisine=Italian","occasion=Long Drive"
"cuisine=Greek","occasion=Fine for Dining Alone"
"cuisine=Mediterranean","occasion=Fine for Dining Alone"
"cuisine=Greek","occasion=Special Brunch Menu"
"cuisine=Mediterranean","occasion=Special Brunch Menu"
"cuisine=Hamburgers & Beer","occasion=Pre-theater Dining"
"cuisine=Caribbean","occasion=Weekend Dining"
"cuisine=Jewish","occasion=Special Brunch Menu"
"cuisine=Canadian","occasion=After Hours Dining"
"cuisine=Canadian","occasion=Late Night Menu"
"cuisine=Canadian","occasion=Open for Breakfast"
"cuisine=Vegetarian","occasion=Delivery Available"
"cuisine=Vegetarian","occasion=Takeout Available"
"cuisine=Vegetarian","occasion=Open for Breakfast"
"cuisine=Creole","occasion=Private Parties"
"cuisine=Creole","occasion=Private Rooms Available"
"cuisine=Creole","occasion=Dancing"
"cuisine=Creole","occasion=Entertainment"
"cuisine=Burritos","occasion=Weekend Dining"
"cuisine=Burritos","occasion=Dining Outdoors"
"cuisine=Mexican","occasion=Dining Outdoors"
"cuisine=Burritos","occasion=After Hours Dining"
"cuisine=Burritos","occasion=Late Night Menu"
"cuisine=Burritos","occasion=Delivery Available"
"cuisine=Burritos","occasion=Takeout Available"
"cuisine=German","occasion=Weekend Dining"
"cuisine=German","occasion=Prix Fixe Menus"
"cuisine=Swiss","occasion=Prix Fixe Menus"
"cuisine=German","occasion=Dining Outdoors"
"cuisine=Swiss","occasion=Dining Outdoors"
"cuisine=German","occasion=Dancing"
"cuisine=French","occasion=Long Drive"
"cuisine=Chinese","occasion=After Hours Dining"
"cuisine=Chinese","occasion=Late Night Menu"
"cuisine=Thai","occasion=Weekend Dining"
"cuisine=Jewish","occasion=Dancing"
"cuisine=Jewish","occasion=Entertainment"
"cuisine=Japanese","occasion=Dancing"
"cuisine=Japanese","occasion=Entertainment"
"cuisine=Dim Sum","occasion=After Hours Dining"
"cuisine=Dim Sum","occasion=Late Night Menu"
"cuisine=Caribbean","occasion=Pre-theater Dining"
"cuisine=Cuban","occasion=Pre-theater Dining"
"cuisine=Cuban","occasion=Private Parties"
"cuisine=Cuban","occasion=Private Rooms Available"
"cuisine=Cuban","occasion=After Hours Dining"
"cuisine=Cuban","occasion=Late Night Menu"
"cuisine=Cuban","occasion=Dancing"
"cuisine=Cuban","occasion=Entertainment"
"cuisine=Polish","occasion=Fine for Dining Alone"
"cuisine=Polish","occasion=Menus in Braille"
"cuisine=Mediterranean","occasion=Dancing"
"cuisine=Mediterranean","occasion=Entertainment"
"cuisine=Belgian","occasion=Weekend Dining"
"cuisine=Greek","occasion=Game"
"cuisine=Indian","occasion=Dining Outdoors"
"cuisine=Mexican","occasion=Fine for Dining Alone"
"cuisine=Italian","occasion=Short Drive"
"cuisine=Bar-B-Q","occasion=Weekend Dining"
"cuisine=Jewish","occasion=Prix Fixe Menus"
"cuisine=Irish","occasion=Weekend Dining"
"cuisine=Irish","occasion=Private Parties"
"cuisine=Irish","occasion=Private Rooms Available"
"cuisine=Bar-B-Q","occasion=Fine for Dining Alone"
"cuisine=Burritos","occasion=Fine for Dining Alone"
"cuisine=German","occasion=Special Brunch Menu"
"cuisine=Caribbean","occasion=Dining Outdoors"
