"s1","s2"
"cuisine=Seafood","price=$15-$30"
"cuisine=Cajun","price=$30-$50"
"cuisine=Italian","price=$15-$30"
"cuisine=Chinese","price=below $15"
"cuisine=American","price=$30-$50"
"cuisine=Bar-B-Q","price=$15-$30"
"cuisine=Seafood","price=below $15"
"cuisine=Italian","price=below $15"
"cuisine=American","price=below $15"
"cuisine=Cajun","price=$15-$30"
"cuisine=Cuban","price=$15-$30"
"cuisine=Fountain and Ice Cream","price=below $15"
"cuisine=Chinese","price=$15-$30"
"cuisine=Nicaraguan","price=$15-$30"
"cuisine=French","price=$15-$30"
"cuisine=Mexican","price=below $15"
"cuisine=French","price=$30-$50"
"cuisine=Mexican","price=$15-$30"
"cuisine=Japanese","price=$15-$30"
"cuisine=American","price=$15-$30"
"cuisine=Yugoslavian","price=$15-$30"
"cuisine=Vietnamese","price=below $15"
"cuisine=Vietnamese","price=$15-$30"
"cuisine=Cuban","price=below $15"
"cuisine=Italian","price=$30-$50"
"cuisine=Thai","price=$15-$30"
"cuisine=German","price=$15-$30"
"cuisine=French","price=below $15"
"cuisine=Cajun","price=below $15"
"cuisine=Turkish","price=$15-$30"
"cuisine=Spanish","price=$15-$30"
"cuisine=Greek","price=$15-$30"
"cuisine=Indian","price=$15-$30"
"cuisine=Greek","price=below $15"
"cuisine=Jamaican","price=$15-$30"
"cuisine=Bar-B-Q","price=below $15"
"cuisine=Salvadoran","price=$15-$30"
"cuisine=Coffee and Dessert","price=$30-$50"
"cuisine=Japanese","price=$30-$50"
"cuisine=Spanish","price=$30-$50"
"cuisine=French","price=over $50"
"cuisine=Seafood","price=$30-$50"
"cuisine=Jewish","price=$30-$50"
"cuisine=Seafood","price=over $50"
"cuisine=Irish","price=$15-$30"
"cuisine=Filipino","price=$15-$30"
"cuisine=Coffee and Dessert","price=$15-$30"
"cuisine=Italian","price=over $50"
"cuisine=Caribbean","price=$15-$30"
"cuisine=Creole","price=$15-$30"
"cuisine=Venezuelan","price=$30-$50"
"cuisine=Creole","price=$30-$50"
"cuisine=Chinese","price=$30-$50"
"cuisine=Czech","price=$15-$30"
"cuisine=Hungarian","price=$15-$30"
"cuisine=Russian","price=$15-$30"
"cuisine=Lebanese","price=$15-$30"
"cuisine=Ukrainian","price=below $15"
"cuisine=Dim Sum","price=$15-$30"
"cuisine=Indonesian","price=$15-$30"
"cuisine=Korean","price=$15-$30"
"cuisine=Malaysian","price=$15-$30"
"cuisine=American","price=over $50"
"cuisine=Burmese","price=$15-$30"
"cuisine=Mediterranean","price=$15-$30"
"cuisine=Mediterranean","price=$30-$50"
"cuisine=Jewish","price=$15-$30"
"cuisine=Russian","price=$30-$50"
"cuisine=Moroccan","price=$15-$30"
"cuisine=Persian","price=$15-$30"
"cuisine=Brazilian","price=$30-$50"
"cuisine=Hamburgers & Beer","price=$30-$50"
"cuisine=Greek","price=$30-$50"
"cuisine=Afghanistan","price=$15-$30"
"cuisine=Vegetarian","price=$15-$30"
"cuisine=Indian","price=$30-$50"
"cuisine=Tibetan","price=$15-$30"
"cuisine=Brazilian","price=$15-$30"
"cuisine=Ethiopian","price=$15-$30"
"cuisine=Hamburgers & Beer","price=$15-$30"
"cuisine=Mexican","price=$30-$50"
"cuisine=Coffee and Dessert","price=below $15"
"cuisine=Scandinavian","price=$30-$50"
"cuisine=Swiss","price=$15-$30"
"cuisine=Mediterranean","price=over $50"
"cuisine=Scandinavian","price=over $50"
"cuisine=Russian","price=over $50"
"cuisine=Swiss","price=$30-$50"
"cuisine=Vietnamese","price=$30-$50"
"cuisine=Argentinean","price=$15-$30"
"cuisine=Japanese","price=below $15"
"cuisine=Hamburgers & Beer","price=below $15"
"cuisine=Caribbean","price=$30-$50"
"cuisine=Canadian","price=$15-$30"
"cuisine=Burritos","price=below $15"
"cuisine=German","price=$30-$50"
"cuisine=Armenian","price=$15-$30"
"cuisine=Cuban","price=$30-$50"
"cuisine=Polish","price=$15-$30"
"cuisine=Belgian","price=$30-$50"
"cuisine=Thai","price=$30-$50"
