"s1","s2"
"cuisine=Seafood","style=Soul Food"
"cuisine=Italian","style=Traditional"
"cuisine=Fountain and Ice Cream","style=Coffee Shops"
"cuisine=Fountain and Ice Cream","style=Po' Boys"
"cuisine=American","style=Traditional"
"cuisine=American","style=Po' Boys"
"cuisine=American","style=Cab"
"cuisine=Seafood","style=Oyster Bars"
"cuisine=American","style=Power Brokers"
"cuisine=Italian","style=Pizza"
"cuisine=American","style=Oyster Bars"
"cuisine=French","style=Pizza"
"cuisine=American","style=Continental"
"cuisine=American","style=Coffee Shops"
"cuisine=French","style=High Tea"
"cuisine=French","style=Continental"
"cuisine=Coffee and Dessert","style=Continental"
"cuisine=French","style=Coffee Shops"
"cuisine=American","style=Eclectic"
"cuisine=Indian","style=Traditional"
"cuisine=French","style=Power Brokers"
"cuisine=American","style=Southern"
"cuisine=Mexican","style=Southern"
"cuisine=American","style=Soulfood"
"cuisine=Mexican","style=Soulfood"
"cuisine=American","style=Southwestern"
"cuisine=Mexican","style=Southwestern"
"cuisine=American","style=Steakhouses"
"cuisine=Irish","style=Steakhouses"
"cuisine=Coffee and Dessert","style=Eclectic"
"cuisine=Bar-B-Q","style=Southern"
"cuisine=Bar-B-Q","style=Soulfood"
"cuisine=French","style=Cab"
"cuisine=Cajun","style=Southern"
"cuisine=Creole","style=Southern"
"cuisine=Cajun","style=Soulfood"
"cuisine=Creole","style=Soulfood"
"cuisine=French","style=Traditional"
"cuisine=Seafood","style=Cab"
"cuisine=Spanish","style=Cab"
"cuisine=Venezuelan","style=Cab"
"cuisine=Seafood","style=Traditional"
"cuisine=Spanish","style=Traditional"
"cuisine=Venezuelan","style=Traditional"
"cuisine=Czech","style=High Tea"
"cuisine=Hungarian","style=High Tea"
"cuisine=Russian","style=High Tea"
"cuisine=Lebanese","style=Middle Eastern"
"cuisine=Italian","style=Cab"
"cuisine=Mexican","style=Californian"
"cuisine=Italian","style=Steakhouses"
"cuisine=Ukrainian","style=Coffee Shops"
"cuisine=American","style=Diners"
"cuisine=Irish","style=Continental"
"cuisine=American","style=Grills"
"cuisine=American","style=Californian"
"cuisine=Jewish","style=Traditional"
"cuisine=Jewish","style=Deli"
"cuisine=Russian","style=Caviar"
"cuisine=Coffee and Dessert","style=Pastries"
"cuisine=Italian","style=High Tea"
"cuisine=Bar-B-Q","style=Southwestern"
"cuisine=Seafood","style=Power Brokers"
"cuisine=Hamburgers & Beer","style=Grills"
"cuisine=Hamburgers & Beer","style=Steakhouses"
"cuisine=Coffee and Dessert","style=Coffee Shops"
"cuisine=Coffee and Dessert","style=Pancakes"
"cuisine=American","style=Pancakes"
"cuisine=American","style=Pastries"
"cuisine=Coffee and Dessert","style=Traditional"
"cuisine=Italian","style=Pastries"
"cuisine=Thai","style=Traditional"
"cuisine=French","style=Californian"
"cuisine=French","style=Eclectic"
"cuisine=Mediterranean","style=Traditional"
"cuisine=Seafood","style=Steakhouses"
"cuisine=Spanish","style=Steakhouses"
"cuisine=Japanese","style=Cab"
"cuisine=Hamburgers & Beer","style=English"
"cuisine=Russian","style=Coffee Shops"
