"s1","s2"
"atmosphere=Good Decor","price=$15-$30"
"atmosphere=Excellent Decor","price=$30-$50"
"atmosphere=Excellent Decor","price=$15-$30"
"atmosphere=Fair Decor","price=below $15"
"atmosphere=Near-perfect Decor","price=$30-$50"
"atmosphere=Good Decor","price=below $15"
"atmosphere=Extraordinary Decor","price=$15-$30"
"atmosphere=Excellent Decor","price=below $15"
"atmosphere=Poor Decor","price=below $15"
"atmosphere=Fair Decor","price=$15-$30"
"atmosphere=Extraordinary Decor","price=$30-$50"
"atmosphere=Extraordinary Decor","price=below $15"
"atmosphere=Good Decor","price=$30-$50"
"atmosphere=Extraordinary Decor","price=over $50"
"atmosphere=Fair Decor","price=$30-$50"
"atmosphere=Near-perfect Decor","price=over $50"
"atmosphere=Excellent Decor","price=over $50"
"atmosphere=Poor Decor","price=$15-$30"
"atmosphere=Good Decor","price=over $50"
"atmosphere=Near-perfect Decor","price=$15-$30"
