"s1","s2"
"occasion=Takeout Available","price=$15-$30"
"occasion=Open on Mondays","price=$15-$30"
"occasion=Open on Sundays","price=$15-$30"
"occasion=Private Rooms Available","price=$15-$30"
"occasion=Takeout Available","price=below $15"
"occasion=Open on Mondays","price=below $15"
"occasion=Open on Sundays","price=below $15"
"occasion=Long Drive","price=$30-$50"
"occasion=Open on Mondays","price=$30-$50"
"occasion=Open on Sundays","price=$30-$50"
"occasion=Fine for Dining Alone","price=$30-$50"
"occasion=Private Rooms Available","price=$30-$50"
"occasion=Game","price=$30-$50"
"occasion=Dancing","price=$30-$50"
"occasion=Open for Breakfast","price=$30-$50"
"occasion=Private Parties","price=$15-$30"
"occasion=Fine for Dining Alone","price=below $15"
"occasion=Dining Outdoors","price=below $15"
"occasion=Game","price=$15-$30"
"occasion=Special Brunch Menu","price=$15-$30"
"occasion=Dining Outdoors","price=$15-$30"
"occasion=Entertainment","price=$15-$30"
"occasion=Dancing","price=$15-$30"
"occasion=Other Quick Food","price=below $15"
"occasion=Private Parties","price=$30-$50"
"occasion=Entertainment","price=$30-$50"
"occasion=Open for Breakfast","price=below $15"
"occasion=Special Brunch Menu","price=below $15"
"occasion=Private Parties","price=below $15"
"occasion=Late Night Menu","price=below $15"
"occasion=Margaritas","price=below $15"
"occasion=Fine for Dining Alone","price=$15-$30"
"occasion=Weekend Jazz Brunch","price=$15-$30"
"occasion=Late Night Menu","price=$15-$30"
"occasion=Entertainment","price=below $15"
"occasion=Dining Outdoors","price=$30-$50"
"occasion=Private Rooms Available","price=below $15"
"occasion=Dancing","price=below $15"
"occasion=Open for Breakfast","price=$15-$30"
"occasion=Short Drive","price=$15-$30"
"occasion=Weekend Dining","price=$15-$30"
"occasion=Delivery Available","price=$15-$30"
"occasion=Prix Fixe Menus","price=$30-$50"
"occasion=Special Brunch Menu","price=$30-$50"
"occasion=Menus in Braille","price=$30-$50"
"occasion=Prix Fixe Menus","price=$15-$30"
"occasion=Pre-theater Dining","price=$15-$30"
"occasion=After Hours Dining","price=$15-$30"
"occasion=Delivery Available","price=$30-$50"
"occasion=Takeout Available","price=$30-$50"
"occasion=Prix Fixe Menus","price=over $50"
"occasion=Private Parties","price=over $50"
"occasion=Private Rooms Available","price=over $50"
"occasion=Game","price=over $50"
"occasion=Weekend Dining","price=$30-$50"
"occasion=After Hours Dining","price=$30-$50"
"occasion=Late Night Menu","price=$30-$50"
"occasion=Menus in Braille","price=over $50"
"occasion=Weekend Dining","price=over $50"
"occasion=Pre-theater Dining","price=$30-$50"
"occasion=Margaritas","price=$15-$30"
"occasion=Dining Outdoors","price=over $50"
"occasion=Dancing","price=over $50"
"occasion=Entertainment","price=over $50"
"occasion=Special Brunch Menu","price=over $50"
"occasion=Menus in Braille","price=$15-$30"
"occasion=Margaritas","price=$30-$50"
"occasion=Delivery Available","price=below $15"
"occasion=After Hours Dining","price=below $15"
"occasion=Delivery Available","price=over $50"
"occasion=Takeout Available","price=over $50"
"occasion=Pre-theater Dining","price=over $50"
"occasion=Weekend Dining","price=below $15"
"occasion=Open for Breakfast","price=over $50"
"occasion=Fine for Dining Alone","price=over $50"
"occasion=Catering for Special Events","price=below $15"
"occasion=Dining After the Theater","price=below $15"
"occasion=Catering for Special Events","price=$15-$30"
"occasion=Dining After the Theater","price=$15-$30"
"occasion=Catering for Special Events","price=$30-$50"
"occasion=Early Dining","price=$15-$30"
"occasion=Pre-theater Dining","price=below $15"
"occasion=Early Dining","price=below $15"
"occasion=Short Drive","price=below $15"
"occasion=Weekend Lunch","price=$15-$30"
"occasion=Weekend Brunch","price=$15-$30"
"occasion=Weekend Lunch","price=below $15"
"occasion=Weekend Brunch","price=below $15"
"occasion=Weekend Jazz Brunch","price=below $15"
"occasion=Weekend Brunch","price=$30-$50"
"occasion=Parties and Occasions","price=$30-$50"
"occasion=Weekend Lunch","price=$30-$50"
"occasion=Picnics","price=$15-$30"
"occasion=Picnics","price=below $15"
"occasion=Weekend Jazz Brunch","price=$30-$50"
"occasion=Picnics","price=$30-$50"
"occasion=Weekend Lunch","price=over $50"
"occasion=Parties and Occasions","price=$15-$30"
"occasion=Weekend Brunch","price=over $50"
"occasion=Parties and Occasions","price=over $50"
"occasion=Dining After the Theater","price=$30-$50"
"occasion=Prix Fixe Menus","price=below $15"
"occasion=Long Drive","price=$15-$30"
"occasion=Happy Hour","price=$15-$30"
"occasion=Happy Hour","price=$30-$50"
"occasion=Early Dining","price=$30-$50"
"occasion=Happy Hour","price=below $15"
"occasion=See the Game","price=$15-$30"
"occasion=Walk","price=$15-$30"
"occasion=Great Place to Meet for a Drink","price=$30-$50"
"occasion=Long Drive","price=below $15"
"occasion=Great Place to Meet for a Drink","price=$15-$30"
"occasion=See the Game","price=below $15"
"occasion=Short Drive","price=$30-$50"
"occasion=Short Drive","price=over $50"
"occasion=Walk","price=$30-$50"
"occasion=Long Drive","price=over $50"
"occasion=Game","price=below $15"
"occasion=Walk","price=over $50"
"occasion=See the Game","price=$30-$50"
