"s1","s2"
"occasion=Takeout Available","style=Soul Food"
"occasion=Takeout Available","style=Traditional"
"occasion=Open on Mondays","style=Traditional"
"occasion=Open on Sundays","style=Traditional"
"occasion=Fine for Dining Alone","style=Traditional"
"occasion=Open on Mondays","style=Coffee Shops"
"occasion=Open on Sundays","style=Coffee Shops"
"occasion=Dining Outdoors","style=Coffee Shops"
"occasion=Private Parties","style=Traditional"
"occasion=Takeout Available","style=Po' Boys"
"occasion=Open on Mondays","style=Po' Boys"
"occasion=Open on Sundays","style=Po' Boys"
"occasion=Other Quick Food","style=Po' Boys"
"occasion=Special Brunch Menu","style=Traditional"
"occasion=Late Night Menu","style=Po' Boys"
"occasion=Open for Breakfast","style=Po' Boys"
"occasion=Private Rooms Available","style=Traditional"
"occasion=Dancing","style=Traditional"
"occasion=Weekend Jazz Brunch","style=Traditional"
"occasion=Takeout Available","style=Coffee Shops"
"occasion=Open for Breakfast","style=Coffee Shops"
"occasion=Open on Mondays","style=Cab"
"occasion=Open on Sundays","style=Cab"
"occasion=Entertainment","style=Coffee Shops"
"occasion=Takeout Available","style=Oyster Bars"
"occasion=Private Rooms Available","style=Oyster Bars"
"occasion=Fine for Dining Alone","style=Oyster Bars"
"occasion=Open on Mondays","style=Power Brokers"
"occasion=Open on Sundays","style=Power Brokers"
"occasion=Private Rooms Available","style=Power Brokers"
"occasion=Entertainment","style=Power Brokers"
"occasion=Fine for Dining Alone","style=Power Brokers"
"occasion=Open for Breakfast","style=Power Brokers"
"occasion=Late Night Menu","style=Coffee Shops"
"occasion=Fine for Dining Alone","style=Coffee Shops"
"occasion=Takeout Available","style=Pizza"
"occasion=Open on Mondays","style=Pizza"
"occasion=Open on Sundays","style=Pizza"
"occasion=Private Parties","style=Pizza"
"occasion=Open on Mondays","style=Oyster Bars"
"occasion=Open on Sundays","style=Oyster Bars"
"occasion=Dining Outdoors","style=Oyster Bars"
"occasion=Late Night Menu","style=Oyster Bars"
"occasion=Takeout Available","style=Continental"
"occasion=Open on Mondays","style=Continental"
"occasion=Open on Sundays","style=Continental"
"occasion=Private Parties","style=Continental"
"occasion=Dining Outdoors","style=Power Brokers"
"occasion=Game","style=Power Brokers"
"occasion=Special Brunch Menu","style=Power Brokers"
"occasion=Late Night Menu","style=Pizza"
"occasion=Takeout Available","style=Power Brokers"
"occasion=Prix Fixe Menus","style=High Tea"
"occasion=Prix Fixe Menus","style=Continental"
"occasion=Game","style=High Tea"
"occasion=Game","style=Continental"
"occasion=Special Brunch Menu","style=High Tea"
"occasion=Special Brunch Menu","style=Continental"
"occasion=Dancing","style=Continental"
"occasion=Entertainment","style=Continental"
"occasion=Menus in Braille","style=Continental"
"occasion=Prix Fixe Menus","style=Coffee Shops"
"occasion=Pre-theater Dining","style=Coffee Shops"
"occasion=After Hours Dining","style=Coffee Shops"
"occasion=Weekend Dining","style=Coffee Shops"
"occasion=Weekend Dining","style=Eclectic"
"occasion=Delivery Available","style=Coffee Shops"
"occasion=Delivery Available","style=Eclectic"
"occasion=Takeout Available","style=Eclectic"
"occasion=Open for Breakfast","style=Eclectic"
"occasion=Fine for Dining Alone","style=Continental"
"occasion=Prix Fixe Menus","style=Power Brokers"
"occasion=Private Parties","style=Power Brokers"
"occasion=Fine for Dining Alone","style=Steakhouses"
"occasion=Fine for Dining Alone","style=Eclectic"
"occasion=Dining Outdoors","style=Cab"
"occasion=Dining Outdoors","style=High Tea"
"occasion=Weekend Dining","style=Southern"
"occasion=Weekend Dining","style=Soulfood"
"occasion=Weekend Dining","style=Traditional"
"occasion=After Hours Dining","style=Traditional"
"occasion=Late Night Menu","style=Traditional"
"occasion=Entertainment","style=Traditional"
"occasion=Prix Fixe Menus","style=Traditional"
"occasion=Weekend Dining","style=Cab"
"occasion=After Hours Dining","style=Cab"
"occasion=Late Night Menu","style=Cab"
"occasion=Dancing","style=Cab"
"occasion=Entertainment","style=Cab"
"occasion=Prix Fixe Menus","style=Steakhouses"
"occasion=Delivery Available","style=Steakhouses"
"occasion=Takeout Available","style=Steakhouses"
"occasion=Delivery Available","style=High Tea"
"occasion=Takeout Available","style=High Tea"
"occasion=Prix Fixe Menus","style=Middle Eastern"
"occasion=Private Parties","style=Middle Eastern"
"occasion=Private Rooms Available","style=Middle Eastern"
"occasion=Delivery Available","style=Middle Eastern"
"occasion=Takeout Available","style=Middle Eastern"
"occasion=Dancing","style=Middle Eastern"
"occasion=Entertainment","style=Middle Eastern"
"occasion=Private Parties","style=Cab"
"occasion=Private Rooms Available","style=Cab"
"occasion=Private Parties","style=Steakhouses"
"occasion=Private Rooms Available","style=Steakhouses"
"occasion=Dancing","style=Power Brokers"
"occasion=After Hours Dining","style=Diners"
"occasion=Late Night Menu","style=Diners"
"occasion=Special Brunch Menu","style=Eclectic"
"occasion=Weekend Dining","style=Grills"
"occasion=Private Parties","style=Grills"
"occasion=Private Rooms Available","style=Grills"
"occasion=After Hours Dining","style=Grills"
"occasion=Late Night Menu","style=Grills"
"occasion=Delivery Available","style=Traditional"
"occasion=Delivery Available","style=Deli"
"occasion=Takeout Available","style=Deli"
"occasion=Prix Fixe Menus","style=Eclectic"
"occasion=Private Parties","style=Eclectic"
"occasion=Private Rooms Available","style=Eclectic"
"occasion=Dancing","style=Eclectic"
"occasion=Entertainment","style=Eclectic"
"occasion=Menus in Braille","style=Eclectic"
"occasion=Weekend Dining","style=High Tea"
"occasion=Weekend Dining","style=Caviar"
"occasion=Prix Fixe Menus","style=Caviar"
"occasion=Pre-theater Dining","style=High Tea"
"occasion=Pre-theater Dining","style=Caviar"
"occasion=Private Parties","style=High Tea"
"occasion=Private Parties","style=Caviar"
"occasion=Private Rooms Available","style=High Tea"
"occasion=Private Rooms Available","style=Caviar"
"occasion=Delivery Available","style=Caviar"
"occasion=Takeout Available","style=Caviar"
"occasion=After Hours Dining","style=Eclectic"
"occasion=Late Night Menu","style=Eclectic"
"occasion=Dining Outdoors","style=Traditional"
"occasion=After Hours Dining","style=Southwestern"
"occasion=Late Night Menu","style=Southwestern"
"occasion=Delivery Available","style=Power Brokers"
"occasion=Weekend Dining","style=Steakhouses"
"occasion=Dining Outdoors","style=Grills"
"occasion=Dining Outdoors","style=Steakhouses"
"occasion=Weekend Dining","style=Pancakes"
"occasion=Weekend Dining","style=Pastries"
"occasion=Fine for Dining Alone","style=Pancakes"
"occasion=Fine for Dining Alone","style=Pastries"
"occasion=Delivery Available","style=Pancakes"
"occasion=Delivery Available","style=Pastries"
"occasion=Takeout Available","style=Pancakes"
"occasion=Takeout Available","style=Pastries"
"occasion=Special Brunch Menu","style=Coffee Shops"
"occasion=Special Brunch Menu","style=Pancakes"
"occasion=Special Brunch Menu","style=Pastries"
"occasion=Open for Breakfast","style=Pancakes"
"occasion=Open for Breakfast","style=Pastries"
"occasion=Dining Outdoors","style=Pastries"
"occasion=Open for Breakfast","style=Traditional"
"occasion=After Hours Dining","style=Middle Eastern"
"occasion=Late Night Menu","style=Middle Eastern"
"occasion=After Hours Dining","style=Steakhouses"
"occasion=Late Night Menu","style=Steakhouses"
"occasion=After Hours Dining","style=English"
"occasion=Late Night Menu","style=English"
"occasion=Dancing","style=English"
"occasion=Entertainment","style=English"
"occasion=Dining Outdoors","style=Eclectic"
"occasion=Game","style=Eclectic"
"occasion=Prix Fixe Menus","style=Cab"
"occasion=Fine for Dining Alone","style=Cab"
"occasion=Delivery Available","style=Cab"
"occasion=Takeout Available","style=Cab"
"occasion=Weekend Dining","style=Diners"
"occasion=Private Parties","style=Diners"
"occasion=Private Rooms Available","style=Diners"
"occasion=Dining Outdoors","style=Diners"
"occasion=Fine for Dining Alone","style=Diners"
"occasion=Dancing","style=Diners"
"occasion=Entertainment","style=Diners"
"occasion=Special Brunch Menu","style=Diners"
"occasion=Open for Breakfast","style=Diners"
"occasion=Pre-theater Dining","style=Traditional"
"occasion=Pre-theater Dining","style=Californian"
"occasion=After Hours Dining","style=Californian"
"occasion=Late Night Menu","style=Californian"
"occasion=After Hours Dining","style=Frankfurters"
"occasion=Late Night Menu","style=Frankfurters"
"occasion=Weekend Dining","style=Power Brokers"
"occasion=Game","style=Cab"
"occasion=Dining Outdoors","style=Continental"
