"s1","s2"
"style=Soul Food","price=below $15"
"style=Traditional","price=below $15"
"style=Coffee Shops","price=below $15"
"style=Traditional","price=$15-$30"
"style=Po' Boys","price=below $15"
"style=Cab","price=below $15"
"style=Oyster Bars","price=$15-$30"
"style=Power Brokers","price=$30-$50"
"style=Pizza","price=below $15"
"style=Continental","price=below $15"
"style=Oyster Bars","price=below $15"
"style=Power Brokers","price=$15-$30"
"style=Coffee Shops","price=$15-$30"
"style=High Tea","price=$30-$50"
"style=Continental","price=$30-$50"
"style=Eclectic","price=$15-$30"
"style=Continental","price=$15-$30"
"style=Power Brokers","price=over $50"
"style=Southern","price=$15-$30"
"style=Soulfood","price=$15-$30"
"style=Southwestern","price=$15-$30"
"style=Steakhouses","price=$15-$30"
"style=Southern","price=below $15"
"style=Soulfood","price=below $15"
"style=Cab","price=$30-$50"
"style=Traditional","price=$30-$50"
"style=Southern","price=$30-$50"
"style=Soulfood","price=$30-$50"
"style=Steakhouses","price=$30-$50"
"style=High Tea","price=$15-$30"
"style=Middle Eastern","price=$15-$30"
"style=Californian","price=$15-$30"
"style=Diners","price=$15-$30"
"style=Cab","price=$15-$30"
"style=Grills","price=$15-$30"
"style=Eclectic","price=over $50"
"style=Deli","price=$15-$30"
"style=Caviar","price=$30-$50"
"style=Pastries","price=$15-$30"
"style=Grills","price=$30-$50"
"style=Pancakes","price=$15-$30"
"style=Californian","price=$30-$50"
"style=Eclectic","price=$30-$50"
"style=English","price=$15-$30"
"style=Pastries","price=below $15"
"style=Frankfurters","price=below $15"
"style=Cab","price=over $50"
"style=Omelettes","price=$15-$30"
"style=Caviar","price=over $50"
"style=Pizza","price=$30-$50"
"style=Noodle Shops","price=below $15"
"style=Southwestern","price=$30-$50"
"style=Tacos","price=below $15"
"style=Pizza","price=$15-$30"
"style=Steakhouses","price=over $50"
"style=Noodle Shops","price=$15-$30"
"style=Southwestern","price=below $15"
"style=Grills","price=below $15"
"style=Continental","price=over $50"
"style=High Tea","price=over $50"
"style=Deli","price=below $15"
"style=High Tea","price=below $15"
"style=Traditional","price=over $50"
"style=Grills","price=over $50"
"style=Diners","price=below $15"
"style=Noodle Shops","price=$30-$50"
"style=Middle Eastern","price=below $15"
"style=Southern Comfort","price=below $15"
"style=Eclectic","price=below $15"
"style=Hamburgers","price=$15-$30"
"style=Hamburgers","price=below $15"
"style=Health Food","price=below $15"
"style=Southern Comfort","price=$15-$30"
"style=Cafeterias","price=below $15"
"style=Noodle Houses","price=below $15"
"style=Pastry Shops","price=below $15"
"style=Fast Food","price=below $15"
"style=Health Food","price=$15-$30"
"style=Brasserie","price=$15-$30"
"style=Brasserie","price=$30-$50"
"style=Central","price=$15-$30"
"style=Central","price=below $15"
"style=Pizzerias","price=$15-$30"
"style=Cafe/Espresso Bars","price=below $15"
"style=Soul Food","price=$15-$30"
"style=Franco-Russian","price=over $50"
"style=Californian","price=below $15"
"style=Cafe/Espresso Bars","price=$15-$30"
"style=Kosher","price=$15-$30"
"style=Fast Food","price=$15-$30"
"style=Coffee Houses","price=below $15"
"style=Coffee Houses","price=$15-$30"
"style=Californian","price=over $50"
"style=Bakeries","price=$15-$30"
"style=Bakeries","price=below $15"
"style=Southeast Asian","price=below $15"
"style=Southeast Asian","price=$15-$30"
"style=Hamburgers","price=$30-$50"
"style=Power Brokers","price=below $15"
"style=Carry in Wine and Beer","price=below $15"
"style=Carry in Wine and Beer","price=$15-$30"
"style=Steakhouses","price=below $15"
"style=International","price=$15-$30"
"style=N","price=below $15"
"style=A","price=below $15"
"style=Coffeehouses","price=below $15"
